,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(1.0469493683687544e-17-1.50070817306791e-17j),0j,0j,(-0.4178262855274728+0.4300019764531755j),0j,(-0.3881225489709047-0.36064507610808044j),(-0.04269286083563517-0.5983250212565666j),0j
4.0,(-1.1986075029479525e-18-2.6230311147653546e-17j),0j,0j,(0.04819620857710788-0.9093011925980449j),(-0+0j),(-0.14480906652710412+0.05194314945126991j),(0.36904485843428564-0.10481699556090643j),0j
6.0,(6.036402387808743e-18+1.7148603901808914e-17j),0j,0j,(0.5898664887784252+0.13209510489684093j),0j,(0.7254361792754678-0.08101227316679482j),(-0.3181316607515437+0.0240835317287319j),0j
8.0,(-6.024369938853474e-18+2.2668663398355867e-19j),0j,0j,(0.7833189941326478+0.12663133702051688j),(-0+0j),(0.09046770986623655-0.03611982055009713j),(-0.013654894247399463-0.60058334460214j),0j
10.0,(1.0473403839709416e-17+7.00181058303053e-18j),0j,0j,(-0.3637968222324073+0.07426361115337571j),(-0+0j),(0.6060497602793846+0.44090359646664046j),(0.5365397505577354+0.11211418711112298j),0j
12.0,(-1.0967787605860718e-17-7.596052588227188e-18j),0j,0j,(0.04768019118068401-0.15657916910894337j),0j,(0.035664526502215244+0.2986805989172945j),(0.9137125043129204-0.2187623459650161j),0j
14.0,(-1.5623555503727232e-17+1.2670210479253417e-17j),0j,0j,(0.20748853522291155-0.3355320114150815j),0j,(0.5479178209893479+0.1707093733568488j),(0.08091189787875636+0.713066906495355j),0j
16.0,(3.591247293377579e-17+7.209595220238042e-18j),0j,0j,(0.8206199617751-0.43025933099984337j),0j,(-0.05966274886808785+0.2214466268916183j),(0.23858953918537523+0.17870804696750303j),0j
18.0,(8.344685421693064e-18-1.598276270444291e-17j),0j,0j,(0.03346199286578505-0.6024996512445124j),(-0+0j),(-0.5752525956214108-0.4774533645116268j),(0.24822989429087777+0.1240125832784267j),0j
20.0,(-2.347222928843372e-17+2.009744582159098e-17j),0j,0j,(0.050879847359432184+0.7046417053672404j),0j,(-0.20099456575549113+0.3695411515167733j),(0.5472346998574664-0.15641615432606454j),0j
