,0,1,2,3
0.0,0.0,0.0,0.0,0.0
2.0,1.5346152984291328,5.825243592580908,2.1804138680300067,7.868284249022185
4.0,-0.0987765574945858,1.1907973233708866,2.930321721385202,0.9940092826604554
6.0,1.15398666740297,3.617135863792078,3.2154897432981744,-1.0632078166321053
8.0,4.589869011183454,2.5233388928012657,6.913843483241689,8.893172148606215
10.0,-2.015875894200544,7.544407275008049,-3.05901365255279,10.754732663059874
12.0,3.707075666030783,0.500104462159842,-1.0767216744277153,5.621940900928734
14.0,2.417552039994717,5.825671560893215,2.052317219845572,1.2937227381517116
16.0,-1.0712053468406062,6.355287042244762,3.343675160981163,1.9252034276369905
18.0,4.668220335247935,1.0342270532961328,3.350827642904384,1.8664451712463088
20.0,7.853244952183361,3.8015783649327863,-4.210232551133094,5.537826806855213
