,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
18.5,0j,0j,0j,(-0.1132453143341636+0.014417066374885774j),0j,(-0.18416913670497267-0.2905339527511208j),(-0.09567326627545782+0.06324016216309586j),0j,0j,(0.2967102119775305-0.16630152987133856j),(-0.18261473867438371-0.29550946862798j),0j,(-0.11588787487472431+0.011380565844153853j),0j,0j,0j,0j,(-0.2667283354635252-0.21436866013782693j),(-0.1989498296298314+0.38097141640936993j),0j,(-0.20258155507988224+0.3836190647861465j),0j,0j,0j,(-0.2650388483473465-0.21282247370263374j),0j,0j,0j,0j,0j,0j,0j
19.0,0j,0j,0j,(0.06875615443650382+0.07091302263000387j),0j,(-0.21253271906023102-0.009795852542018701j),(0.040722359359127824+0.2383617408486978j),0j,0j,(0.001835397544852957-0.044166327122213064j),(-0.21756207913239325-0.011656865132915195j),0j,(0.06573369563901733+0.073309223596627j),0j,0j,0j,0j,(-0.2547938835734101+0.1018807767171778j),(0.4606584792567826+0.35406407636695403j),0j,(0.46156944916871984+0.35772929335517767j),0j,0j,0j,(-0.25179856821449303+0.10049134755747945j),0j,0j,0j,0j,0j,0j,0j
19.5,0j,0j,0j,(0.035487432468433666+0.11096137238358282j),0j,(0.15319072265270584-0.032915269805714235j),(-0.28786667679476813-0.0034223659588967434j),0j,0j,(-0.1272844445350327-0.03884802360489738j),(0.15386115160018984-0.03830447847690141j),0j,(0.03192726118606382+0.1088429289771388j),0j,0j,0j,0j,(0.022681874057815903-0.17102609306996377j),(-0.266603375805622+0.5570733766604279j),0j,(-0.2690560714029703+0.5577729163008514j),0j,0j,0j,(0.024445330397306425-0.16736032832083012j),0j,0j,0j,0j,0j,0j,0j
20.0,0j,0j,0j,(0.03570540168275935-0.1826796353344598j),0j,(0.053869419383664637-0.289216969711062j),(-0.07067145839141306+0.2840919804243695j),0j,0j,(-0.16577544605396943+0.20507086410721306j),(0.04905224795895332-0.2879368597562163j),0j,(0.03536972735996809-0.1779036785965817j),0j,0j,0j,0j,(-0.11798689725985531-0.1191251242651244j),(0.5234736298767289+0.0120890483863203j),0j,(0.5243358215191635+0.012880437375437925j),0j,0j,0j,(-0.11447525268228544-0.1219471689521305j),0j,0j,0j,0j,0j,0j,0j
20.5,0j,0j,0j,(-0.12279539018298946-0.2674909969186852j),0j,(0.06580877026573777-0.309180415594225j),(-0.19845666071695886+0.28196722087989495j),0j,0j,(-0.37000079890802917+0.25922811998336204j),(0.06247850383387171-0.30683028005619506j),0j,(-0.12165785914266809-0.26214680148554625j),0j,0j,0j,0j,(-0.09664389392993003-0.15574338634486834j),(0.31655844302429886-0.14147887603605583j),0j,(0.3173139434396585-0.14224590736571585j),0j,0j,0j,(-0.09362168372904754-0.15930342144083282j),0j,0j,0j,0j,0j,0j,0j
21.0,0j,0j,0j,(0.2919499477689014+0.259099364488456j),0j,(-0.05546488960758494+0.1595310720951131j),(0.2729433247590714-0.3098981013827651j),0j,0j,(0.5098712354216304-0.3463696454324179j),(-0.05430011734871607+0.15662707299496786j),0j,(0.289444395496698+0.253877363792846j),0j,0j,0j,0j,(0.06666430061111864+0.08845904098173807j),(-0.07047738523539464+0.16907931443129498j),0j,(-0.07103920137102353+0.17100962970213468j),0j,0j,0j,(0.06475477687479136+0.09279204670670121j),0j,0j,0j,0j,0j,0j,0j
21.5,0j,0j,0j,(0.348561871117686+0.2548077187202838j),0j,(-0.09797223420717054-0.10947695789514807j),(0.27857417897645864-0.2863358017663762j),0j,0j,(0.5342771969395111-0.3287303670894614j),(-0.09866349054289317-0.11237862501423135j),0j,(0.3459135189831294+0.24985333905361742j),0j,0j,0j,0j,(-0.01247023538136726-0.03610780564444463j),(0.06390366130487284+0.10762420620178403j),0j,(0.06329040785358694+0.11011224994177063j),0j,0j,0j,(-0.013773470895009155-0.03152824506174132j),0j,0j,0j,0j,0j,0j,0j
22.0,0j,0j,0j,(0.1656945714683632-0.37847285351340143j),0j,(-0.31343046381907574+0.2264395377408173j),(-0.2705662074267574-0.07545701092102218j),0j,0j,(-0.34611096723104906-0.26620695675537154j),(-0.31547185602184286+0.2296820648922876j),0j,(0.1622705388309171-0.3748515759436004j),0j,0j,0j,0j,(-0.1326438527083887+0.13651294820990226j),(0.03426058540662878-0.09361657256003122j),0j,(0.03672863961829276-0.09374642794993238j),0j,0j,0j,(-0.1278460605553161+0.13586576853505014j),0j,0j,0j,0j,0j,0j,0j
22.5,0j,0j,0j,(-0.27707715217008916+0.25617198480242354j),0j,(0.4655999478407623-0.17727377704447064j),(0.17455579862316997-0.0948024051436654j),0j,0j,(0.15787099402268828+0.0027837402330355976j),(0.4678965606365122-0.18163410190608228j),0j,(-0.27412067479914126+0.253469173620729j),0j,0j,0j,0j,(0.21347157288599394-0.169179056643382j),(-0.0564717803807291+0.021564402509950183j),0j,(-0.05841454864409647+0.0212412110773586j),0j,0j,0j,(0.20849850904875578-0.1688754186533068j),0j,0j,0j,0j,0j,0j,0j
23.0,0j,0j,0j,(-0.366148096174835-0.08992781293202257j),0j,(0.3809786608174992+0.15958588030611268j),(0.29027389734975456-0.17440679361877656j),0j,0j,(0.23596008812078556-0.2428847384375849j),(0.38595211528100026+0.15669241336502798j),0j,(-0.3632842429067662-0.09079290195902652j),0j,0j,0j,0j,(0.24423327957609503-0.01475933803688384j),(-0.05715607589448719-0.09911183753728697j),0j,(-0.0581394172403421-0.09951835759178082j),0j,0j,0j,(0.2400199879329763-0.017538710056366077j),0j,0j,0j,0j,0j,0j,0j
23.5,0j,0j,0j,(0.08694774159324953+0.3862749876927828j),0j,(0.004417969998507271-0.17602507974615397j),(-0.4582033009882138-0.12865593178145984j),0j,0j,(-0.5627773498316497+0.01067452483737924j),(-0.00176720739690657-0.17682209282819816j),0j,(0.08475762869874875+0.38548546326067945j),0j,0j,0j,0j,(-0.10480973159935175-0.07673420946475815j),(-0.03611722800701936+0.1528514118859681j),0j,(-0.03423498197919218+0.1522723090262597j),0j,0j,0j,(-0.10432899457354163-0.0711037440679937j),0j,0j,0j,0j,0j,0j,0j
24.0,0j,0j,0j,(0.149427349226057-0.34742677513426j),0j,(-0.029036348329453395-0.14041009851970196j),(0.2726478533330948+0.42929978983983635j),0j,0j,(0.4709746225914741+0.3588682751655379j),(-0.023936402525363745-0.13688696118536595j),0j,(0.15131370906255592-0.3462875054818257j),0j,0j,0j,0j,(0.06129732780494743-0.023202275037113407j),(0.02796476774876007-0.16450987437170386j),0j,(0.02467552605715369-0.16567285494303519j),0j,0j,0j,(0.06408316384270045-0.027261191987552388j),0j,0j,0j,0j,0j,0j,0j
24.5,0j,0j,0j,(0.30706702289256477-0.020252427364366374j),0j,(0.326592962436575-0.04206518783883105j),(-0.38599712116596135+0.2553758607213091j),0j,0j,(-0.22910734559892043+0.3830867773172184j),(0.32595260564279405-0.035860446672798474j),0j,(0.30707512116165514-0.018070775642187308j),0j,0j,0j,0j,(0.1339073438439418+0.04444712748148357j),(0.14956721483148544-0.2161420148749736j),0j,(0.15018146520214087-0.22064298661301063j),0j,0j,0j,(0.13751589370620781+0.04599297707150105j),0j,0j,0j,0j,0j,0j,0j
25.0,0j,0j,0j,(-0.12340602157275521-0.18089442751737048j),0j,(-0.01646332815510873-0.3521932409725395j),(0.12175096954277603+0.3966180911550897j),0j,0j,(0.15812017701366643+0.19324028834977544j),(-0.010046866972050178-0.3537637751372257j),0j,(-0.12165736362631654-0.18140898171022957j),0j,0j,0j,0j,(0.051064894137675745-0.13146111883164222j),(-0.43237422370361933-0.027322948652035023j),0j,(-0.4373490928506818-0.02796560291860209j),0j,0j,0j,(0.05219893941457394-0.1339397452836134j),0j,0j,0j,0j,0j,0j,0j
