,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
24.0,0j,0j,0j,(-0.16910850115338855+0.3532052448414861j),0j,(-0.023263713850052613-0.09080137903787865j),(-0.26831152413691867-0.057492743118084284j),0j,0j,(0.1444053834964992+0.7103156134350925j),(-0.023273525194832057-0.09084258330931125j),0j,(-0.1690674782417003+0.3532627362274079j),0j,0j,0j,0j,(-0.10888761344949024-0.14010261895854084j),(0.045951283920141084-0.06222800182490907j),0j,(0.04587327347304818-0.06223170084469018j),0j,0j,0j,(-0.10895013743371669-0.1402705385407737j),0j,0j,0j,0j,0j,0j,0j
26.0,0j,0j,0j,(-0.03361102558995931+0.038420188226041235j),0j,(-0.3756372735328859-0.25520409649665465j),(0.15833362712704221+0.30131973674912776j),0j,0j,(0.15922158326903466+0.03436115604076197j),(-0.3756840387151596-0.2551026938893268j),0j,(-0.03363077625840014+0.038418407600303774j),0j,0j,0j,0j,(0.18657661042175042+0.15064597286112583j),(0.06185781675100917+0.398334378831301j),0j,(0.061819970691928045+0.3982641911570881j),0j,0j,0j,(0.18666841249779476+0.15053441489163044j),0j,0j,0j,0j,0j,0j,0j
28.0,0j,0j,0j,(0.011886101146767454-0.041483076572558106j),0j,(-0.06736742421044853-0.1584461133215742j),(-0.021785848499960764+0.16752598324407417j),0j,0j,(-0.8479011994181447+0.0880955508213632j),(-0.06727840142417922-0.15845214979892275j),0j,(0.011935446691098948-0.04148452035102726j),0j,0j,0j,0j,(-0.022522286617109227-0.21871230888593454j),(0.020219441188571774+0.20532848128463915j),0j,(0.02014696486622322+0.20531005881700337j),0j,0j,0j,(-0.022620456539341027-0.2185860347996789j),0j,0j,0j,0j,0j,0j,0j
30.0,0j,0j,0j,(-0.04916548758431762+0.25530957570362806j),0j,(0.18640724045800577-0.17258212424353422j),(-0.37708503809208904+0.036416525004944716j),0j,0j,(0.22057348599005408+0.3698107018379362j),(0.18635321047015496-0.17258554414384059j),0j,(-0.0491189062574992+0.2553813719619996j),0j,0j,0j,0j,(-0.2524321285286494-0.22608997850936832j),(-0.28573532676945945+0.082708268405411j),0j,(-0.2858063969078982+0.08268905949462456j),0j,0j,0j,(-0.2525555099913313-0.22618347176316753j),0j,0j,0j,0j,0j,0j,0j
32.0,0j,0j,0j,(-0.0499590094753445-0.24465631843593283j),0j,(0.4165375637266121-0.12418420729114579j),(-0.39986107349415034-0.15510950661357087j),0j,0j,(0.012560615625611227-0.3813515165767216j),(0.4165353433119226-0.12424981554852996j),0j,(-0.049956729328899524-0.2447327694797179j),0j,0j,0j,0j,(-0.007814574424683921+0.17472950371116935j),(-0.22849214690141237-0.03361026307350772j),0j,(-0.22838568605186682-0.033647475993228496j),0j,0j,0j,(-0.00776908650337331+0.17485913008525972j),0j,0j,0j,0j,0j,0j,0j
34.0,0j,0j,0j,(0.056238248401952795+0.06945120730607726j),0j,(0.03131887352817038+0.06067340361536072j),(0.22675690084714017+0.07837591201354j),0j,0j,(0.026250388888521284-0.9118411096238765j),(0.031355554512627615+0.060780778426078846j),0j,(0.05622681386706077+0.06954556466205214j),0j,0j,0j,0j,(0.09057916497275276+0.07020710516355796j),(0.16525141472895846+0.04540194685126733j),0j,(0.1652531038848337+0.04536869504611661j),0j,0j,0j,(0.09049004960679906+0.07009299682360408j),0j,0j,0j,0j,0j,0j,0j
36.0,0j,0j,0j,(-0.009212240074363753-0.04901412347289655j),0j,(0.2366039058634941+0.35624017517575757j),(0.14677805201161842-0.30373827735642395j),0j,0j,(0.08864605126266858-0.023161340694688004j),(0.23659164197431776+0.35625206953660293j),0j,(-0.009313972580984983-0.04889575806713412j),0j,0j,0j,0j,(0.18301821657021963-0.2306501200213512j),(-0.24606153911212086-0.32597024285249215j),0j,(-0.24600579437029646-0.32601883472706905j),0j,0j,0j,(0.1830590432862668-0.23074772807563437j),0j,0j,0j,0j,0j,0j,0j
38.0,0j,0j,0j,(0.24320919371735614+0.14757428627183483j),0j,(-0.24263110168944213+0.11762890255631271j),(0.23022372235481578-0.17782114876361732j),0j,0j,(0.3664953925881853+0.5923910010170793j),(-0.24258280480627845+0.11768823802160144j),0j,(0.243337714447258+0.14758181097420764j),0j,0j,0j,0j,(-0.21966094890724955-0.0029560090463619376j),(-0.11066718978472179+0.02943980032854257j),0j,(-0.11069905760545534+0.029512103133867124j),0j,0j,0j,(-0.21976565100557827-0.0030091248638346307j),0j,0j,0j,0j,0j,0j,0j
40.0,0j,0j,0j,(-0.13822509592876456+0.11228946318929559j),0j,(-0.1652014731962483-0.07479680297045253j),(0.23744064267114592+0.36289210685807205j),0j,0j,(0.3867116884108888-0.28146979234832403j),(-0.16524396339640257-0.07468388313772598j),0j,(-0.13825363409285907+0.11239249360897846j),0j,0j,0j,0j,(-0.20090331885071913+0.06533366904433896j),(0.23841661936305625+0.3542629430205235j),0j,(0.23841349228560313+0.35429583730917874j),0j,0j,0j,(-0.2008353503631465+0.06521339161646346j),0j,0j,0j,0j,0j,0j,0j
42.0,0j,0j,0j,(0.0016780155047239759+0.1937431471340416j),0j,(-0.38572931576163366-0.012484278347032779j),(0.007843273212301216+0.4131026177599386j),0j,0j,(0.007053174214964028+0.5004554332831872j),(-0.3857673647839026-0.012523568755639404j),0j,(0.0015903636200094856+0.19363284910081804j),0j,0j,0j,0j,(-0.011676717241373619+0.06360884389902569j),(0.2084705516053525-0.2351257040313046j),0j,(0.2084594036693249-0.23505539742911818j),0j,0j,0j,(-0.011612569641495374+0.0637174646215766j),0j,0j,0j,0j,0j,0j,0j
44.0,0j,0j,0j,(0.13789446076327735-0.12100505304615465j),0j,(-0.2677512527054896+0.08114032203178403j),(-0.21346341880205788+0.029766126427499075j),0j,0j,(0.6088323561502738+0.02333400766651994j),(-0.26772275304595655+0.0811431920160313j),0j,(0.1379472904152462-0.1211491155450908j),0j,0j,0j,0j,(-0.047161770948078545+0.10571902775339583j),(0.0006029009557179284+0.4071537967788668j),0j,(0.0005934940057064353+0.407222549049821j),0j,0j,0j,(-0.047272258675737804+0.1057716541725519j),0j,0j,0j,0j,0j,0j,0j
46.0,0j,0j,0j,(0.08500246415634727-0.2942927608824539j),0j,(0.2996211876481157-0.03861145452558093j),(-0.26552421793202835+0.09082472062075195j),0j,0j,(-0.08794363963695614-0.13928412968218146j),(0.2995618938346998-0.03867937827229165j),0j,(0.08492878753828577-0.2943162235028491j),0j,0j,0j,0j,(0.13964676006563084-0.2296460589745546j),(-0.4256065825768013+0.09290409002200758j),0j,(-0.4255805464412243+0.09288249901665904j),0j,0j,0j,(0.1397039557488906-0.2295083427295801j),0j,0j,0j,0j,0j,0j,0j
48.0,0j,0j,0j,(0.029153320432817667+0.19967869873532848j),0j,(-0.11802546162030833-0.1772420721008322j),(-0.14115923968955332+0.3940149982226422j),0j,0j,(-0.024470331646780363+0.5942703889371739j),(-0.11807584783204028-0.17730469007666488j),0j,(0.029098492983229016+0.1996364552490711j),0j,0j,0j,0j,(-0.20349106882357554-0.09069086463423556j),(-0.10789486495860745-0.29703259711721564j),0j,(-0.10792304110310445-0.2969710204092235j),0j,0j,0j,(-0.20341449554776794-0.09057517018487551j),0j,0j,0j,0j,0j,0j,0j
50.0,0j,0j,0j,(0.08973396144733309-0.038149655089952966j),0j,(-0.10523826815826931-0.3606248662440417j),(-0.3726036206401205-0.04295164118596435j),0j,0j,(0.026246447682214874+0.14420799223389888j),(-0.10524093122950419-0.36061984498265875j),0j,(0.08983215522419909-0.03816896742456078j),0j,0j,0j,0j,(0.096273442928867-0.12183567085981392j),(-0.3822690743303408+0.31307957488122423j),0j,(-0.3823404778275754+0.3130756576443021j),0j,0j,0j,(0.09613499585346466-0.12186623811125258j),0j,0j,0j,0j,0j,0j,0j
