,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.25,0j,0j,0j,(0.038431417652389985-0.09537954295883849j),0j,(0.08898648016354826+0.07742824140768467j),(0.005985514270648539-0.07063822931826474j),0j,0j,(0.08624698130068464-0.1535619066250103j),(0.2274548464593459+0.09429732950179348j),0j,(-0.012292532545036733+0.377493912670187j),0j,0j,0j,0j,(0.03645162648852822+0.041527775880615576j),(-0.21488944591793147+0.2618229258245112j),0j,(-0.2874488538397824-0.3344151987272242j),0j,0j,0j,(0.08887801935473194+0.39814814255160946j),0j,0j,0j,0j,0j,0j,0j,0j,(0.01269138770499072-0.07091804736237155j),(0.209096540211969+0.15925609250791445j),0j,(-0.20641020288603337+0.2638826458158503j),0j,0j,0j,(0.22784772663521755+0.09463731614197857j),0j,0j,0j,0j,0j,0j,0j,(0.02384562513325649-0.09782453833691247j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,(-0.2232307300424767-0.05598030288719458j),0j,(0.06158496936270512+0.2496700970617734j),(-0.16858368030721396+0.0885524250030283j),0j,0j,(-0.3720023033268482-0.2865133754195056j),(0.025222152041385587-0.16019395056358549j),0j,(0.06071307479746854-0.16912751485651545j),0j,0j,0j,0j,(0.022802499446418833+0.28886512414561727j),(-0.02339789278084728+0.16644092174388642j),0j,(-0.2924664180370254-0.20081072549256745j),0j,0j,0j,(0.0060879960122979665-0.2194001268535301j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.2116515240768414-0.010372914207525147j),(0.36921984888826864-0.12103184485649003j),0j,(-0.018865085591314737+0.12283314074604129j),0j,0j,0j,(0.02529717777421879-0.15983892064817304j),0j,0j,0j,0j,0j,0j,0j,(-0.18543925188239993+0.08623362446297833j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.75,0j,0j,0j,(-0.09805757285619333+0.09425747726839884j),0j,(0.3824311224318428-0.25169722122904736j),(-0.06928313637038555-0.20375965053353903j),0j,0j,(-0.28600197227284724+0.06835720487046529j),(0.021514002348440812+0.03839313858540877j),0j,(0.16549903125866883+0.035071008789075125j),0j,0j,0j,0j,(0.36581605060250544-0.22133094029380654j),(0.008242154849914253-0.15963040560075045j),0j,(0.05804624844721018+0.23413941382841158j),0j,0j,0j,(0.21190521712427282+0.032909038779777466j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.06933296606944236+0.12259349614514006j),(-0.23631074170718053-0.3581985605728596j),0j,(-0.04165568400341542-0.12699566541436863j),0j,0j,0j,(0.021929107738873195+0.037887588168642995j),0j,0j,0j,0j,0j,0j,0j,(-0.04847914531690606-0.26438515006655394j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.0,0j,0j,0j,(0.07086097365017716-0.21277629968745698j),0j,(-0.2394556392976534-0.1619984834819305j),(0.24873713699565603+0.061914350482848525j),0j,0j,(0.15517360023419338+0.12564208955111564j),(0.28680763573927043-0.23505555453041757j),0j,(-0.2586988760888476+0.09233663366708911j),0j,0j,0j,0j,(-0.19153855734798084-0.20258248452772404j),(0.004999676440807929+0.04219732086544873j),0j,(0.20641990043010963-0.007211340702421541j),0j,0j,0j,(-0.23705340749005527+0.19328178665743753j),0j,0j,0j,0j,0j,0j,0j,0j,(0.02750722656718265-0.24746430294273783j),(0.2014150253095507+0.13704387660080247j),0j,(0.051891631121700726+0.05297680899897662j),0j,0j,0j,(0.2865781290802272-0.23511072703166813j),0j,0j,0j,0j,0j,0j,0j,(0.24561871947699682+0.08527255750229847j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
6.25,0j,0j,0j,(0.08877349660039256+0.08931521913068435j),0j,(0.10345506840204796+0.3596576502436033j),(-0.022480132988078293+0.08252289764224777j),0j,0j,(0.22505268305736476+0.2504986167595074j),(-0.231607061155526-0.22313333767897028j),0j,(0.0949830712516296+0.1299618926500625j),0j,0j,0j,0j,(0.11987801644460212+0.3313083333476119j),(-0.15486883632594414+0.13828116955568598j),0j,(0.1229747108239288-0.3522976259803995j),0j,0j,0j,(0.13696854349865822+0.06795723241697271j),0j,0j,0j,0j,0j,0j,0j,0j,(0.11122129445191396+0.13361713923712862j),(0.2945072726043795-0.0729976078212686j),0j,(-0.1357788627244088+0.07229943814254607j),0j,0j,0j,(-0.2318055280618727-0.22244403038326718j),0j,0j,0j,0j,0j,0j,0j,(-0.06371491704336552+0.10463236883293421j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7.5,0j,0j,0j,(0.1769281741610872+0.3178480912277416j),0j,(-0.27119457276165343-0.08561974400627775j),(-0.026804042311443572+0.05395139635587553j),0j,0j,(-0.27376294476515695+0.0932717178403171j),(0.21485219849763298+0.1446495551085759j),0j,(0.03424078449460363-0.12188558563366281j),0j,0j,0j,0j,(-0.2851638625542128+0.025575225043654504j),(0.3804965298469189-0.07824031884005088j),0j,(-0.055557704803927396+0.12994826791118014j),0j,0j,0j,(0.019385456159524618-0.1222745212603126j),0j,0j,0j,0j,0j,0j,0j,0j,(0.22138592358868558+0.2992892632246331j),(-0.06803950380837501+0.011395809053809894j),0j,(0.3630728914699995-0.042614839940555455j),0j,0j,0j,(0.21446042968165827+0.14441074682884475j),0j,0j,0j,0j,0j,0j,0j,(-0.05449025755395203+0.03783735361099261j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
8.75,0j,0j,0j,(-0.02907898803424347-0.1093428173353296j),0j,(-0.05163121851311252+0.24272706327978344j),(-0.008009567877849679-0.019222618535468295j),0j,0j,(0.26909553234881933+0.1204187633408354j),(-0.08380512721420755-0.22484124471565115j),0j,(0.041079372181799516+0.15603530963861187j),0j,0j,0j,0j,(-0.020270459960165316+0.18821264507646762j),(-0.12516040189483738-0.05387784914682739j),0j,(0.1221233623777698+0.31405288748311405j),0j,0j,0j,(0.06359956912559149+0.15403040983570437j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.14032580701164005-0.1486072368165247j),(-0.4787546659368484+0.47728104373783j),0j,(-0.03643539652955341-0.004140497295607649j),0j,0j,0j,(-0.08383716743730589-0.22506335003973213j),0j,0j,0j,0j,0j,0j,0j,(0.014745505854563787-0.03031140146799955j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
10.0,0j,0j,0j,(-0.05523851575684048-0.2767552749632311j),0j,(-0.06169724074512246-0.08810052361547407j),(0.07347273582754486+0.08980064494062864j),0j,0j,(0.09133919760371399-0.03343398243053705j),(-0.44038206218322185+0.059273084211188376j),0j,(-0.10674859954866944+0.009836135471464953j),0j,0j,0j,0j,(0.008375522146316726-0.10577153846712103j),(0.040587181753418466-0.16172871865186875j),0j,(-0.023079031696896072-0.2782494895128451j),0j,0j,0j,(-0.09980932975715809-0.005797423230373116j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.048560976009713964-0.23513026074943197j),(0.3374397133624523+0.2933490021436257j),0j,(0.06984996900773771-0.2593152373183676j),0j,0j,0j,(-0.4404987174802222+0.059645198699494244j),0j,0j,0j,0j,0j,0j,0j,(0.03768458038840203+0.14562352185455324j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
11.25,0j,0j,0j,(-0.10132430556514987+0.17806333987385034j),0j,(-0.1284823439018276-0.00590214755096009j),(0.16926118434547355-0.2312027131443558j),0j,0j,(0.4332223342821906+0.06975778968735352j),(-0.0373292734117304+0.10862383719867817j),0j,(0.3198729019010096+0.04223038803881865j),0j,0j,0j,0j,(-0.16428596579292018-0.10176438668855706j),(-0.016762691722614673-0.018190739918053964j),0j,(-0.22935020154441402-0.10497688711418107j),0j,0j,0j,(0.33350130583554893-0.027258047530662355j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.1413218879845791+0.1995652387694215j),(0.407740748910743+0.0886466557404057j),0j,(-0.018755679986921465-0.07404812227897564j),0j,0j,0j,(-0.03720748986613514+0.10868867044866665j),0j,0j,0j,0j,0j,0j,0j,(0.2105909035775794-0.19672901142464058j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
12.5,0j,0j,0j,(0.015173124506541569-0.06317291090932922j),0j,(-0.19348348893506725-0.05636694106648396j),(-0.2008511515418+0.07656147288481299j),0j,0j,(0.3105854527755343+0.1772498490146699j),(-0.17660906952722508-0.06556165754252595j),0j,(0.025676174845732008-0.03347930346415536j),0j,0j,0j,0j,(-0.17469256885343282-0.08884655597950011j),(-0.18349435853229348+0.16975915982812864j),0j,(-0.4281139980377249+0.036048813838358604j),0j,0j,0j,(0.008595002862288073-0.08632831304805666j),0j,0j,0j,0j,0j,0j,0j,0j,(0.04293807167430254+0.03129305691155204j),(0.5427075983232832-0.14676626930315498j),0j,(-0.19325221230243958+0.07932845886783559j),0j,0j,0j,(-0.17642688102097814-0.06540659898105668j),0j,0j,0j,0j,0j,0j,0j,(-0.2180582247372179+0.072922965499642j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
13.75,0j,0j,0j,(-0.32276161643595846+0.10018460356388892j),0j,(0.055925971542598346-0.03909443241231213j),(0.24855466724718966+0.023388490737582993j),0j,0j,(0.24521272559730178-0.16063931988336907j),(-0.004100022828024241-0.23124267071948276j),0j,(0.10354753500875327-0.1272229456025654j),0j,0j,0j,0j,(0.011145390322568664-0.14146215187954714j),(-0.02831886779221423+0.15492140407260094j),0j,(0.1519937060473416+0.27746210778367153j),0j,0j,0j,(0.09503406793435668-0.12684718231001413j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.26425049147954294+0.10516774201018826j),(0.30042615138825435-0.43786645072218666j),0j,(-0.053983770540002196+0.1163828931012406j),0j,0j,0j,(-0.004070693702924219-0.23160082004969093j),0j,0j,0j,0j,0j,0j,0j,(0.2149016049302591+0.05618864719833228j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
15.0,0j,0j,0j,(0.2440293972668856+0.06644642477569687j),0j,(0.08073437028232155-0.07905049781973673j),(-0.044768124077415115+0.049537763595252436j),0j,0j,(0.014955580118112342+0.16036134327908041j),(-0.07603903004810468+0.31329686075770713j),0j,(-0.04801218821697009+0.10473119304124465j),0j,0j,0j,0j,(0.07475811251312553-0.047810782839934486j),(0.013314941004021252+0.17330225152243045j),0j,(0.41754155403320714-0.18253821222737385j),0j,0j,0j,(-0.06139774998243865+0.13025419726708293j),0j,0j,0j,0j,0j,0j,0j,0j,(0.3117154385931543+0.07425321697229688j),(-0.16594984051629175-0.481903808394039j),0j,(-0.08665015776081751+0.18456837519660502j),0j,0j,0j,(-0.07618686695888291+0.31346261517556234j),0j,0j,0j,0j,0j,0j,0j,(-0.011432243939602486+0.030956309688834054j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
16.25,0j,0j,0j,(0.17518942588998787+0.038836828707686136j),0j,(-0.1100013077491398+0.07973381909232413j),(-0.06365909209379744+0.09154793986844159j),0j,0j,(-0.25989549515141486+0.020088618201102457j),(0.030449200539652617-0.29127916110722035j),0j,(-0.049429477660558475+0.22429795515929066j),0j,0j,0j,0j,(-0.11478829432692646+0.17669298523137647j),(0.2507699511160154+0.13513383027134374j),0j,(-0.40692433120788335+0.0027735552435508987j),0j,0j,0j,(-0.008688216408874166+0.18923151591845755j),0j,0j,0j,0j,0j,0j,0j,0j,(0.1086016984396221+0.03375349400663541j),(0.18290894501441118+0.3580645453083408j),0j,(0.3318008254455328+0.11582469674657295j),0j,0j,0j,(0.030569789530350895-0.2910553543749748j),0j,0j,0j,0j,0j,0j,0j,(-0.07848749193572555+0.11618514043466881j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
