,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,(-0.2101247282280832+0.11573486192713844j),0j,(0.21749247516501008+0.09449321250561718j),(-0.04359876400353854+0.18036080093165988j),0j,0j,(-0.4587460045184157+0.0867168586422225j),(-0.100568795421701-0.12970150328673793j),0j,(-0.04456138648545119-0.15622606262248956j),0j,0j,0j,0j,(0.22476835072925272+0.20741632192577075j),(0.12232645068807944+0.144657946697806j),0j,(-0.3388791450815237+0.07305774206347977j),0j,0j,0j,(-0.19190372699055835-0.14685327391620534j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.12520198320813117+0.1584456950889697j),(0.15133997518692066-0.35398838910401886j),0j,(0.06504359676872408+0.08033860337076047j),0j,0j,0j,(-0.1005140353956998-0.1296899941734187j),0j,0j,0j,0j,0j,0j,0j,(-0.07121628002841703+0.20204150065682658j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.0,0j,0j,0j,(0.10988680671121874+0.18371067220177667j),0j,(0.26305893978065015-0.1363920442546572j),(-0.1884267400365248+0.17799635059035518j),0j,0j,(-0.19459833086240086+0.05820214022876308j),(0.035050354727283656+0.35902841803555235j),0j,(0.1116755370380004-0.2364070459827504j),0j,0j,0j,0j,(0.27540636840097993-0.007063427461209637j),(-0.025215798650727178-0.0328787878489692j),0j,(-0.09202988001636926+0.16148584057801812j),0j,0j,0j,(-0.07185737241964416-0.31559310019717224j),0j,0j,0j,0j,0j,0j,0j,0j,(0.215490625186065+0.15372875379133216j),(-0.2274514006561827+0.09730725652017819j),0j,(-0.09201141429112059+0.034165816702098284j),0j,0j,0j,(0.0351101561403195+0.3590286660204039j),0j,0j,0j,0j,0j,0j,0j,(-0.2271379810439398+0.14100876126022416j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7.5,0j,0j,0j,(-0.3140648920850362+0.17186666766263697j),0j,(0.11733186519676757-0.2715092924549348j),(-0.04932038263554402-0.01113852162927092j),0j,0j,(-0.09905628555178785-0.2646454616413454j),(-0.13334321020234413+0.22574025056578345j),0j,(0.11573364087534477+0.03314351429718503j),0j,0j,0j,0j,(-0.10489958449157713-0.29172550191088475j),(0.12171094660517945+0.37218414536115285j),0j,(-0.13005833840618936-0.03933130666642255j),0j,0j,0j,(0.10993777537221229+0.009787769184573483j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.27312268835680276+0.2453928879298031j),(-0.042961910038047696-0.07259338314584032j),0j,(0.04551611173391196+0.3491014450310381j),0j,0j,0j,(-0.1334087098081293+0.22574868438363346j),0j,0j,0j,0j,0j,0j,0j,(-0.014184691740491612-0.06150155932577023j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
10.0,0j,0j,0j,(0.29383268350465547+0.041817865879587954j),0j,(0.10538921037437679-0.05758834013721319j),(-0.07302186034580442+0.04998071859771107j),0j,0j,(0.017923550913343703+0.08743349205382178j),(0.0686174865949421-0.439560165058425j),0j,(0.025732120961400304-0.09635765313315278j),0j,0j,0j,0j,(0.08983494172352076+0.07690843195920996j),(0.10192721851522667+0.05977471037357964j),0j,(0.2467488232813793+0.07258994118044385j),0j,0j,0j,(0.05653348042891247-0.07676892551980936j),0j,0j,0j,0j,0j,0j,0j,0j,(0.1955064412695929+0.02418151616115526j),(-0.38010363959048415+0.2421394490088571j),0j,(0.2759734903612025+0.17428439241335142j),0j,0j,0j,(0.06855144559164193-0.43951967832763283j),0j,0j,0j,0j,0j,0j,0j,(-0.1486497673016313-0.04697598275697188j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
12.5,0j,0j,0j,(0.07553764175887057+0.048965222671189884j),0j,(0.11361572278092488-0.19471762467196985j),(-0.0004900056323871999-0.20980758175735942j),0j,0j,(-0.23865798068401922+0.2597618830188082j),(0.10350920071583652-0.1544598204033651j),0j,(0.005409193412605593+0.037907318401264954j),0j,0j,0j,0j,(0.1633774818139607-0.15787792117450306j),(-0.15716933158632085-0.2154382008008594j),0j,(0.05313548802665097-0.41423504349809104j),0j,0j,0j,(0.12196126420524+0.03014257878695989j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.11354071275030454+0.04300506663456843j),(-0.004243267397396652+0.5339268805043309j),0j,(0.01867725063863082-0.18783502954288284j),0j,0j,0j,(0.10348265085073255-0.15430462851566018j),0j,0j,0j,0j,0j,0j,0j,(0.012964262031890328-0.23129304567799114j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
15.0,0j,0j,0j,(0.0387915289424441+0.2534926802676614j),0j,(0.10406273712065842+0.026175407964596886j),(-0.07030996636993592-0.052759037235936904j),0j,0j,(-0.1297180046090382+0.08782303005326217j),(-0.29787255724499473+0.030485723338091304j),0j,(-0.12416094638899264+0.0031474106156697407j),0j,0j,0j,0j,(0.028215994807705175+0.03853786760178018j),(-0.13046778480280743+0.13266892858464838j),0j,(0.35536095346640734+0.3057337195753176j),0j,0j,0j,(-0.16852316519216387+0.0033280141536901984j),0j,0j,0j,0j,0j,0j,0j,0j,(0.07506575405071625+0.3589436249453199j),(0.32587527105351105-0.34366797472891614j),0j,(-0.22603174961846148-0.026528772500596494j),0j,0j,0j,(-0.2977871432612113+0.03052229845886829j),0j,0j,0j,0j,0j,0j,0j,(-0.010997251266528703+0.0010326653340467628j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
17.5,0j,0j,0j,(0.15666814022996015-0.2702749863949437j),0j,(-0.09130573515373061-0.0058409707519379295j),(-0.06397693794871358+0.08195163351457997j),0j,0j,(-0.41608449403858555-0.2118517405741419j),(0.3070952932306814-0.15983486254285162j),0j,(-0.02844059884224004+0.1983356349606606j),0j,0j,0j,0j,(-0.07967762564387723+0.179746247267807j),(0.1289604499277316+0.046173283595841406j),0j,(0.05569105358424725-0.3288056041921966j),0j,0j,0j,(0.012143864831131945+0.22791188493201292j),0j,0j,0j,0j,0j,0j,0j,0j,(0.11116603063897096-0.24308259683756994j),(0.22507353355196463-0.13384780098842872j),0j,(0.135518969662735+0.06717159859343348j),0j,0j,0j,(0.3070450092841663-0.15983959592406352j),0j,0j,0j,0j,0j,0j,0j,(-0.025169399680195697+0.03370390543037721j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
20.0,0j,0j,0j,(0.29160401042440304+0.16824155169067323j),0j,(-0.1796612303333825+0.33474013030902794j),(0.2060510115178229-0.3128096586410144j),0j,0j,(0.2830802086548489-0.06224471233706665j),(0.12311867159552581-0.1020760171605791j),0j,(-0.20118061485693747+0.028641262802892337j),0j,0j,0j,0j,(-0.3008205032925517+0.29441527056646144j),(0.0679621690744026+0.023589572268105843j),0j,(0.07143659729896946-0.17710225512865363j),0j,0j,0j,(-0.05663232302560106+0.11419901876998706j),0j,0j,0j,0j,0j,0j,0j,0j,(0.2617289483263393+0.04563125426445415j),(0.005966428262222927-0.0940506048378133j),0j,(0.06999685415268984+0.05356006288612492j),0j,0j,0j,(0.1232480150790463-0.1020663533972364j),0j,0j,0j,0j,0j,0j,0j,(0.23407407935288507-0.22010860085671274j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
22.5,0j,0j,0j,(-0.0349885270285611+0.010711580014460178j),0j,(-0.266180294125208-0.15391100104290376j),(-0.22688364088049323-0.06442651884778011j),0j,0j,(-0.20475938105301386+0.3267037968905354j),(0.0775875550532547+0.30463640844624595j),0j,(0.14794050462945071+0.08640612787822677j),0j,0j,0j,0j,(-0.15132810274905648-0.05013197435090387j),(0.08482889976779935-0.1959581050780851j),0j,(-0.28405946784356967+0.4718478986379461j),0j,0j,0j,(0.10729125005315437-0.0778435215396784j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.01945717840345591+0.01418094161911015j),(0.10032785572848378-0.05122718598553652j),0j,(-0.005835084666052339-0.20171734127509314j),0j,0j,0j,(0.07755660504518107+0.30466734408011237j),0j,0j,0j,0j,0j,0j,0j,(-0.15179952743612-0.06222692556951101j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
