,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,(-7.3598084000802e-18+5.1518658800561366e-17j),(-3.4062071058220944e-18-1.1313818044637441e-17j),(-2.997479742706138e-18-4.9238244545317666e-17j),(-0.371297070345248-0.2031195468988608j),(-1.7801934878370588e-17+3.4440630630772205e-18j),(-0.5482925007414581+0.16815792525265322j),(0.06689939404004634+0.15375220279826723j),(2.7236762475328898e-33-5.447352495065782e-34j),(-2.2896586351004195e-17+1.7982797280236815e-17j),(0.06674730967289177+0.14940608129873284j),(-0.26381773607844383-0.5058117564585297j),(2.7236762475328877e-34-2.4513086227796006e-33j),(0.05401249702526256+0.3297329996892304j),(-1.433979296350095e-33-9.090142954898061e-35j),(6.18217033917165e-34-1.591495291861639e-33j),(-9.813077866773595e-18-9.813077866773593e-18j)
6.0,(-1.9626155733547187e-17-1.5407439555097887e-33j),(-2.5724265623967995e-18-4.518145379033467e-17j),(2.2816342104664902e-17-2.557967598755926e-17j),(0.05822495026085178-0.4531112334197561j),(-1.9444745744717085e-17+7.352238883618301e-18j),(0.14115192835299953+0.09239713957060113j),(-0.39838448995085163+0.06629992975321528j),(8.171028742598668e-34-8.17102874259867e-34j),(9.237487740579135e-18+3.0047108889404273e-18j),(-0.34083063808480174-0.029201004363582056j),(0.07543623277452072-0.6592294138941241j),(4.085514371299335e-34+9.532866866365114e-34j),(-0.1172386117024304+0.16939871479210286j),(6.717296939127557e-34-5.90263808731699e-34j),(1.28699947613205e-33-2.0544028996500687e-33j),(-2.3919377300260635e-17+1.4106299433487045e-17j)
9.0,0j,(-4.330122403684395e-19+2.1362006349010986e-17j),(-4.115254429910571e-18+4.1926212562618277e-17j),(0.08758013375508354-0.06301325876535771j),(-5.578872326830383e-18-1.2777362960450655e-17j),(-0.5662565286093502+0.1859822475585284j),(0.4309833767420765+0.1623099965615571j),(1.2256543113898001e-33-2.0427571856496673e-33j),(3.604274042944608e-17+4.9668968787163005e-18j),(0.42447937187664553+0.008652730005703574j),(0.41817476484677424+0.1716507002772065j),(-5.4473524950657795e-33+1.0894704990131564e-33j),(0.14496364634817124-0.12420075793468754j),(2.7405190906354587e-33+1.1472968481135199e-33j),(-8.605278289723266e-34-1.5654343933754603e-33j),(-7.359808400080195e-18+7.359808400080196e-18j)
12.0,(1.4719616800160393e-17-2.4532694666933983e-17j),(6.384801900312281e-18-2.052344073881053e-18j),(-1.1021232336080948e-17+3.490683332932819e-17j),(0.19614427043273386+0.2233292160301702j),(-4.818047218584508e-17-6.224801546123202e-18j),(-0.23526615455975358-0.40879963420938215j),(-0.11156112366149573+0.20031754544953617j),(3.268411497039467e-33-1.0894704990131561e-33j),(-1.784442952570887e-18+1.084794391973073e-18j),(-0.21023237138470952+0.2499358333914825j),(0.34807298904853906+0.13669211884368096j),(2.0427571856496683e-34+1.429930029954767e-33j),(-0.29764522964866486+0.5491023439416927j),(-4.573153247174387e-34-6.396143462656206e-34j),(-3.353627683407314e-34+2.397796956827332e-34j),(-2.943923360032078e-17+2.9439233600320786e-17j)
15.0,(1.2266347333466992e-18+1.2266347333466993e-18j),(2.9279572183504384e-17+1.7610782224550688e-18j),(3.877352421903596e-18+4.54426839784385e-18j),(-0.08649526718620454+0.052149341028445706j),(4.323361692751504e-17+1.408202300509308e-17j),(0.12232662088357577-0.3253972688585217j),(0.33766729947330393-0.20162251194721784j),(5.447352495065779e-34-5.44735249506578e-34j),(-1.5238885186468546e-17-2.3529722683177827e-17j),(0.2696618863879555-0.1332027585302551j),(-0.5379394059472071-0.00990849084006179j),(1.3618381237664456e-34+1.7703895608963782e-33j),(0.5646662454415989-0.12448103677569863j),(6.96500464686493e-35-5.507732652827148e-35j),(2.3248488085029067e-34+2.93997253954754e-34j),(-4.906538933386796e-18+1.4719616800160393e-17j)
18.0,(-2.9439233600320786e-17+3.925231146709437e-17j),(1.9560451814544254e-17-2.3745547822241903e-17j),(6.692463691948146e-18+1.030305751805149e-17j),(-0.1081725822471431-0.05728804239803176j),(-3.541235110449525e-17-3.2339138708251484e-17j),(-0.8267359303208692-0.0831487900268037j),(0.15143210090872422-0.3118683378930397j),(2.587492435156245e-33-1.7703895608963785e-33j),(1.067693321512826e-17-1.5431904275848764e-17j),(0.09877841964446256-0.30877883481716434j),(0.14805858057603724+0.1264940400556554j),(1.4980219361430894e-33+6.809190618832223e-34j),(-0.15272623525092177-0.08982359440447822j),0j,0j,0j
21.0,(-2.943923360032078e-17-2.9439233600320786e-17j),(-2.881787186646538e-17-4.744113644188235e-17j),(7.999979702443638e-18+3.203546900976503e-19j),(-0.19487227257532444-0.5107320146297695j),(-1.1328216818249328e-17+5.203886810775552e-19j),(-0.6925482871810422+0.1452917858895239j),(0.12048506278660576+0.05916094221104646j),(-5.44735249506578e-34-5.447352495065779e-34j),(1.759844462436126e-17-1.2878720224501304e-17j),(0.10721247606501388+0.10173160400892685j),(-0.04420488466083114-0.36506877106865454j),(9.532866866365115e-34+1.2256543113898003e-33j),(-0.15092814769570834+0.05075122233659442j),(-4.568004816011964e-34-6.775687332994583e-34j),(1.67483571197436e-33-1.1291338018317942e-33j),(1.9626155733547193e-17+5.887846720064156e-17j)
24.0,(-1.471961680016039e-17-4.906538933386798e-18j),(-2.7839852902689125e-17+7.650357229709294e-18j),(-4.1798970344738665e-17+8.49716328796637e-18j),(-0.35522678785806533+0.006225653585966551j),(3.0911510094821976e-18+1.9781320418531824e-17j),(0.027349915628765792+0.159092053301701j),(0.15044619945679025+0.18749596467562657j),(-8.171028742598668e-34+2.7236762475328903e-34j),(6.186188608341464e-18-2.5638517778615482e-17j),(6.870062760716555e-05+0.14812086273530403j),(-0.649663756103535+0.4998362762334065j),(8.17102874259867e-34+2.723676247532889e-34j),(0.24880746750108743-0.18488868489233345j),(7.113705426549207e-34-3.7940791820778585e-34j),(1.001089175877029e-33+5.005407708622282e-33j),(-1.7172886266853787e-17+1.717288626685379e-17j)
27.0,(-3.925231146709437e-17-3.925231146709438e-17j),(1.5783646579161335e-17+1.9751207308190183e-17j),(-2.869068929940206e-17+1.0798250745825183e-17j),(-0.0128612064814361+0.2253460979497504j),(-1.545818484480742e-17-2.7011763428275548e-17j),(0.07916049226708521-0.4400513658968307j),(-0.12356032932976735+0.14635867015131596j),(-1.634205748519734e-33-1.6342057485197336e-33j),(-3.2127871558794263e-17-1.3023706171569999e-17j),(0.017797619701572592+0.12778616618595254j),(-0.714727979899151+0.12016745873233364j),(-5.44735249506578e-34-5.447352495065779e-34j),(-0.05392247415977022+0.4094192544159611j),(1.017298374354496e-33-1.581705524367101e-33j),(-8.812035005269316e-34+3.712673204125051e-34j),(-1.2757001226805672e-16-2.9439233600320774e-17j)
