,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,(9.813077866773595e-18-9.813077866773593e-18j),(-3.1614192172737227e-17+3.3444955600352407e-17j),(3.3381503003178835e-18+2.225486218235903e-18j),(-0.19378683345850747+0.3169517288123327j),(6.013992801777447e-18+2.7407363062403124e-17j),(0.0883076654747009+0.575298674932112j),(0.15883305065717473-0.02446398151233016j),(-1.0894704990131558e-33+1.089470499013156e-33j),(-2.0964499059239363e-17-1.9708864457807156e-17j),(0.16508940166029185-0.028480037927256924j),(-0.5675060854625825+0.1557110875504764j),(-5.106892964124168e-34-5.106892964124167e-34j),(0.3507071373776006+0.004981176222902672j),(-1.422133115884663e-33-1.1882607610520167e-33j),(-1.949148532188439e-33+2.083054717010735e-33j),(9.813077866773595e-18+9.813077866773593e-18j)
6.0,(4.906538933386797e-18+4.9065389333867974e-18j),(-1.9105297223386842e-17+1.895317193434614e-18j),(1.1916260367209685e-18+2.6282386665502284e-17j),(0.2772515044106373+0.35414897400986495j),(9.127209780690455e-18-5.724319031919651e-18j),(-0.1725178957240508+0.020478859352267176j),(0.25821172221059707-0.2560702009341707j),(-1.6342057485197336e-33+5.4473524950657805e-34j),(4.131103953610049e-17+2.9426777799096704e-17j),(0.270851209340121-0.24503036133121855j),(0.35769559708292054+0.5702215430978235j),0j,(-0.01679209164856031-0.2202318775484743j),(1.929539874895824e-34-3.222560604678531e-33j),(1.1912799856871363e-33+2.5549099258816955e-34j),(6.162975822039155e-33+5.887846720064157e-17j)
9.0,(-3.679904200040095e-18-2.3306059933587286e-17j),(-1.7050832766274525e-18+3.289779592089398e-17j),(7.186293902633388e-18+3.404932805821687e-17j),(0.12244776319785314-0.02248511123780146j),(-9.731070507653159e-18-2.758186911513274e-17j),(-0.6069200843101625+0.05867649021028665j),(0.4052658384899014+0.16787969188343008j),0j,(1.1831792297060904e-17+2.1395865579137e-17j),(0.4026148737515602+0.17437984001408935j),(0.3664861913179652+0.28490664757876255j),(-5.447352495065779e-34+5.44735249506578e-34j),(0.09932621422507762-0.049248012764851336j),(-2.090774545944288e-33+2.689521971739654e-34j),(-7.035899915492949e-35-5.4695520637851785e-34j),(1.1039712600120296e-17+2.0852790466893886e-17j)
12.0,(-9.813077866773595e-18+9.813077866773593e-18j),(2.8010550351543294e-17-1.941857307606727e-17j),(-2.707422439408883e-17+8.220313083832966e-18j),(-0.0866140333320961+0.3180399967208936j),(-1.404423232202212e-17-6.294773436751188e-18j),(0.2538719152112467-0.43174292358611743j),(-0.3288745996498724-0.14363140930735918j),(-1.0894704990131558e-33+1.089470499013156e-33j),(-2.3380033181653633e-17-3.1680432224006073e-17j),(-0.33069188524684434-0.12201356223458333j),(0.018885399937894898+0.3331734753064464j),(-2.72367624753289e-34-2.7236762475328894e-34j),(-0.5157887157283384-0.10031714555828564j),(2.0373502134283127e-33-1.2549897932515372e-33j),(-5.08166335281021e-34+1.0666056026877869e-33j),(-1.9626155733547187e-17+1.962615573354719e-17j)
15.0,(-9.81307786677359e-18-4.906538933386797e-17j),(-2.782485622448819e-17+3.750168106986942e-17j),(5.184222125504613e-18+4.758743005812615e-18j),(0.024040585555943735+0.05115947581678989j),(-2.878817475123051e-17+1.0271921991077632e-18j),(-0.01869477452373436+0.3070008215638913j),(-0.22091027458788134+0.1972686491271326j),(1.0894704990131556e-33-3.268411497039468e-33j),(-7.095965536253795e-18-2.528066651455345e-17j),(-0.23799754332924256+0.19471542958128368j),(0.4594634730514421-0.30426776952898155j),0j,(-0.47379847242307727+0.4379063936928644j),(3.644724938818161e-34+1.5900751623414856e-33j),(8.645129327411206e-34+5.4831042222361e-34j),(-4.7838754600521276e-17+8.586443133426896e-18j)
18.0,(1.9626155733547187e-17+9.813077866773596e-18j),(9.451441915226212e-18-6.407311763141312e-19j),(6.930278157669762e-18+1.158475937117038e-17j),(0.013055195713230383+0.1427029197865983j),(1.660212174721011e-17+4.8045382208859116e-17j),(0.8097952860440645-0.2245842837040849j),(0.02330961482969801+0.3319709499622076j),(-3.268411497039467e-33+1.0894704990131561e-33j),(-2.981217532271254e-17+2.1607325910802638e-18j),(0.015445037641999254+0.31533231168521125j),(-0.1747701955876556-0.05690300007502553j),0j,(0.05594882075415331+0.16101249576761476j),(-3.2685689624049766e-34-6.501436421241225e-34j),(-2.997841453823063e-33-1.1631630631792142e-36j),0j
21.0,(-1.962615573354719e-17+1.9626155733547187e-17j),(1.202860235892211e-17+5.001120335789131e-18j),(-4.7137126192467635e-17-2.0658964695555565e-17j),(-0.27996854939810645+0.3985393797024487j),(-9.629262167588417e-18+2.4353829860902712e-17j),(0.37388471368318604+0.5023093145509852j),(-0.1693872078059594-0.15775492611209638j),(1.7105694144590052e-49+2.1789409980263115e-33j),(-1.5339236598710945e-17+3.1425453279984124e-18j),(-0.18901669064231955-0.14771923521306868j),(-0.3995198485414755+0.29199445858306294j),(5.447352495065777e-34-2.7236762475328898e-33j),(0.10695285200143527-0.05689320799856637j),(2.8552973804942962e-33+6.965057842489955e-34j),(-5.728994804464021e-34-1.0597091471833799e-33j),(-2.698596413362738e-17+7.359808400080196e-18j)
24.0,(3.679904200040098e-17+2.453269466693403e-18j),(2.0650500620456497e-18-2.7052477881399097e-18j),(-4.934275179828406e-17+3.0574474381229984e-17j),(-0.30755446328103153+0.44080467199464207j),(-1.1749769789466005e-17+7.767614680648456e-18j),(-0.03240117947045041+0.03297033695131815j),(0.09465332387187746-0.07706928740921029j),(2.7236762475328898e-33+5.447352495065777e-34j),(2.193208231806927e-18-1.2849433073274426e-17j),(0.09759343481856116-0.09083528095851354j),(-0.15392297057704624+0.7842747903453606j),(2.723676247532889e-34-8.17102874259867e-34j),(-0.09153884782737647-0.17067973471244946j),(5.7378646953801326e-34+1.2118422852385357e-33j),(9.928177746894213e-34-4.700821326114219e-34j),(2.4532694666933986e-17+4.906538933386795e-18j)
27.0,(4.661211986717457e-17-1.226634733346699e-17j),(-1.396742680300184e-19+4.812726353583444e-17j),(1.6084031012175085e-17+1.0924755194286838e-17j),(0.006400838917940178+0.054449352737529544j),(-1.2843184799009559e-17-1.2126142710812201e-17j),(0.13752705065524012+0.6567244193991757j),(0.10911473392990098-0.15962480294639275j),(-9.70309663183592e-34-9.703096631835919e-34j),(2.641850586428491e-17+6.721007195679796e-18j),(0.12243079942149873-0.15310415393321097j),(0.6487126515414238-0.19937910788768198j),0j,(-0.06378444177862305+0.07955357396518864j),(-1.8079899467678031e-34-6.262621985492006e-34j),(3.944755606352582e-34-1.1388326639007714e-34j),(1.655956890018044e-17+2.2692742566913935e-17j)
