,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,(1.9626155733547187e-17+1.5407439555097887e-33j),(2.6590812957451773e-17-1.6983269284660543e-17j),(-1.3821888381263204e-17+3.38888848103225e-17j),(0.3834376816607817+0.00877364236663239j),(1.7351425961579646e-17-1.2181528228573139e-17j),(0.44562540383222543-0.3221813380835984j),(-0.06890431030035359-0.11414015563481342j),(-1.3618381237664473e-34-2.0427571856496673e-33j),(2.907776354410189e-17+1.0927837370648788e-17j),(-0.13502368350103153-0.14484759201098352j),(0.3923774009507764+0.43080392133959844j),(1.6342057485197336e-33-5.4473524950657805e-34j),(-0.15314947779153182-0.3612768290966092j),(-9.205134369255838e-35+1.711373863199676e-33j),(-2.683131515150894e-33-3.1771103031333587e-34j),(3.925231146709438e-17+3.925231146709437e-17j)
6.0,(1.962615573354719e-17-1.9626155733547187e-17j),(1.9217689735761805e-17+3.8826226606206825e-18j),(-4.356955308708946e-17+3.599586545161883e-17j),(-0.12428038517870366+0.4039073124122372j),(-2.59433940253832e-18+1.1977656785807071e-17j),(-0.09679168335306894-0.1814333893381404j),(0.39467436325531713+0.0623043712091883j),(3.268411497039468e-33+3.268411497039467e-33j),(2.0370570075449457e-18+4.080729476941345e-18j),(0.30859710144090113+0.11388937578944149j),(-0.3254870217760729+0.6003447891128687j),(-3.0641357784745017e-33-6.060179650760679e-33j),(0.2015936667235913-0.06540827062243859j),(-4.930144063261383e-34+3.716756912694155e-34j),(6.128047828249894e-34-1.9814482176085178e-33j),(-4.906538933386797e-18+4.9065389333867974e-18j)
9.0,(-6.746491033406846e-17-1.1039712600120296e-17j),(2.839515201154078e-17-6.379106804117064e-18j),(-3.184852277265905e-17+1.6031581098007702e-17j),(0.04873021018319021+0.09598572439782872j),(-3.17536677085614e-17+1.5078991260965807e-18j),(-0.11866183329297242-0.5507970736710132j),(-0.12062044473854974+0.46717306651943724j),(8.17102874259867e-34+2.723676247532889e-34j),(-2.0644173450699808e-17+1.3940255729090047e-17j),(-0.035283594467397206+0.45420342156783j),(-0.18061823505708807+0.4411505863835705j),(-6.809190618832224e-35+6.809190618832225e-35j),(0.051348317246939196+0.027110476276964855j),(3.185505984778335e-33-3.340975844057849e-33j),(1.7881702482834616e-34-1.6570243598688267e-33j),(-4.293221566713446e-18+1.410629943348704e-17j)
12.0,(-2.4532694666933983e-17-1.4719616800160393e-17j),(-6.115355022774605e-18+2.6667319508516094e-17j),(3.904583603282826e-17+1.5681137592122586e-17j),(0.3027124071074744-0.1458842930319769j),(-2.8011301533645506e-17+1.147007800071447e-17j),(-0.4962093620536883+0.016085141003988362j),(0.13808412244317464+0.3215719602164783j),(2.7236762475328898e-33-5.447352495065782e-34j),(-1.656969943488897e-17+6.295230721057988e-18j),(0.05446756120870033+0.4149140103725708j),(0.3136308118442787-0.17093392361836982j),(1.634205748519734e-33+5.447352495065778e-34j),(0.24696463470965757+0.3929760603448039j),(1.8182533976567116e-34-9.230171321614826e-34j),(1.2554199001572873e-33+2.473054312222104e-34j),(4.9065389333867935e-18-7.359808400080196e-17j)
15.0,(4.4158850400481167e-17+4.906538933386797e-17j),(-2.4922319427033633e-18-7.05687920803896e-18j),(-2.6011877034714567e-17-1.0043486998587873e-17j),(-0.09591469182072494+0.008341833506131331j),(8.908258822350109e-18-3.927512081026884e-17j),(-0.12497602218236092-0.175224344278567j),(0.0012662198262622104-0.3197329918150502j),(-1.089470499013156e-33-1.0894704990131558e-33j),(3.587431567195324e-17-2.653412829452617e-18j),(-0.0032475814281475446-0.21064551772442716j),(-0.15104940455727256+0.5244554352776605j),(3.268411497039468e-33+1.0894704990131556e-33j),(-0.11975754686955098-0.6968386055798974j),(-3.6692128698767265e-33+1.2182231235385174e-33j),(1.6265275447690257e-33-4.597901762916668e-34j),(5.887846720064157e-17+1.9626155733547183e-17j)
18.0,(4.417801656818969e-18+3.4470352623813106e-17j),(-5.1800562985637215e-17+2.5407192508058735e-17j),(2.9515474396930536e-18-6.938114431768063e-18j),(-0.12146496955028699-0.11256001039585872j),(-4.525394675057981e-18+3.7481564535934864e-18j),(0.15199800441607353+0.8078761445924063j),(-0.2095599078203192+0.043633300692788715j),(1.2277821834581852e-33-1.517172784758555e-33j),(-7.588619415811466e-18-1.6480643716898934e-17j),(-0.32976471072758406+0.039738788751859655j),(0.1535745349192199-0.1406409864740635j),(3.574825074886918e-34+3.234365543945306e-34j),(-0.28253400599512624+0.13219531693840975j),(-5.177878034067282e-35-2.162718057659192e-33j),(6.788111079105868e-34+1.0127883620363739e-33j),(-1.1499700625125309e-17-2.652597610862237e-17j)
21.0,(1.962615573354719e-17-1.9626155733547187e-17j),(7.59543733092202e-18-8.115395004615473e-18j),(1.1090537853750078e-17+2.956054598273299e-17j),(0.3173559412539071+0.10577664914559863j),(3.7438798247560615e-17+1.458730130631239e-17j),(0.4417927372471044-0.5385928611318268j),(-0.05702727143438925+0.25955797557428756j),(-1.089470499013156e-33-1.0894704990131558e-33j),(-2.6556454776507565e-17+1.7587637127358083e-17j),(-0.06116109766170205+0.23096281529245288j),(0.3530330214876166+0.36019477344539j),(-1.634205748519734e-33-2.7236762475328894e-33j),(-0.033339410078679355-0.14015118505028606j),(1.6248985750556592e-33-1.0693237247736667e-34j),(-3.6892419856745645e-35-5.606014256185051e-34j),(4.9065389333867974e-18+4.906538933386797e-18j)
24.0,(1.4719616800160393e-17-1.471961680016039e-17j),(-8.047584701077099e-18-2.7772250871668646e-17j),(-2.88466564833901e-17+2.6522158752906145e-17j),(-0.3102497869416819+0.5067091035292351j),(1.0652557793288605e-17+1.214135669133509e-17j),(0.042861267792271555+0.047288461137888746j),(0.07876192209906847-0.12190637618511793j),(9.873326397306726e-34+9.873326397306724e-34j),(-3.320416620194261e-17+3.791733173346125e-18j),(0.04371236559852386-0.1336044652670098j),(-0.26406499408958695+0.7061386556285143j),(1.089470499013156e-33+1.0894704990131558e-33j),(-0.10793905830081148-0.14859063198470568j),(1.1442382205436823e-33-5.1122823335779855e-34j),(-8.632098815667552e-34-6.2606212026620696e-34j),(-3.925231146709437e-17-9.81307786677359e-18j)
27.0,(1.0963047929286124e-17-8.509778462592724e-18j),(-8.599618779789035e-18+1.2278661331687416e-17j),(-3.0072888501778453e-18-2.4708776000649397e-17j),(0.09618101930448764-0.129361764729517j),(3.96454423075848e-17+4.8096946340707044e-18j),(0.5690747037148098-0.22532265765937426j),(-0.1946856651356454-0.11064366812374157j),(-2.1789409980263115e-33+1.3618381237664452e-33j),(2.0296420795174432e-17-2.9971221803392703e-17j),(-0.21664178063373313-0.03728698174039771j),(-0.3250298003376857-0.5892953375406274j),(-3.4045953094161053e-35+8.51148827354028e-34j),(0.19516455789362092+0.09963607101694574j),(6.348454798012314e-34+7.0372230262402025e-34j),(-4.7225129024328886e-35+3.2591050395643023e-34j),(1.2266347333466993e-18+1.2266347333466992e-18j)
