,0,1,2,3
0.0,0.0,0.0,0.0,0.0
2.0,1.534615298,5.825243593,2.180413868,7.868284249
4.0,-0.098776557,1.190797323,2.930321721,0.994009283
6.0,1.153986667,3.617135864,3.215489743,-1.063207817
8.0,4.589869011,2.523338893,6.913843483,8.893172149
10.0,-2.015875894,7.544407275,-3.059013653,10.75473266
12.0,3.707075666,0.500104462,-1.076721674,5.621940901
14.0,2.41755204,5.825671561,2.05231722,1.293722738
16.0,-1.071205347,6.355287042,3.343675161,1.925203428
18.0,4.668220335,1.034227053,3.350827643,1.866445171
20.0,7.853244952,3.801578365,-4.210232551,5.537826807
22.0,-1.286433849,1.225369514,4.069257401,3.408610353
24.0,-0.492223829,1.928151886,2.676486396,4.146185771
26.0,1.235326644,2.393098167,-0.68877351,3.727950834
28.0,-10.641080839962006,-0.4386420691059963,-2.9010739495543265,8.025912424533288
30.0,3.6304537497842366,2.1014382964449836,0.049173635311467234,1.0401858567180433
