,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-1.7316596134800775e-17-2.2481444222280124e-18j),0j,0j,(0.4038657954536855-0.40620176966810767j),0j,(0.33450038886561617+0.4779843679894324j),(0.024065724252464116+0.5752858561652268j),0j
4.0,(5.823919430472646e-18+2.2267404625317594e-17j),0j,0j,(0.20885809823723533+0.833848829292386j),0j,(0.13662491349390374-0.09594157013908935j),(-0.4068092428975155+0.26021051614725793j),0j
6.0,(2.1542750369268667e-17+3.008991191689186e-18j),0j,0j,(0.4808086813329691+0.4458666031807431j),0j,(0.5815071560370261+0.3464765314139774j),(-0.30286897243074407-0.14177379983174326j),0j
8.0,(1.4177959629307214e-17-9.529652302361302e-18j),0j,0j,(0.8016679374637392-0.022754866479127556j),(-0+0j),(0.09626694977733645-0.12559083634789567j),(-0.17954643676924012-0.5472964711594845j),0j
10.0,(6.0849925634909424e-18+1.956742012498809e-17j),0j,0j,(-0.1248935182093415-0.3571626298714203j),0j,(-0.46145497853245926+0.5537330813214875j),(-0.04489222573125484+0.5790165200055486j),0j
12.0,(9.650711732717647e-19+2.503023845521062e-17j),0j,0j,(0.011502064366079923+0.10669642382296834j),0j,(-0.09116822439934587-0.2533299214554393j),(-0.9081998930982356+0.30194177516586385j),0j
14.0,(2.227486460382173e-17+2.2067914991871084e-17j),0j,0j,(-0.46906270633013-0.1686294018528849j),(-0+0j),(0.05948202639813657-0.47270952788438275j),(0.6443450595330757-0.33071337650479793j),0j
16.0,(-5.511019749652748e-17-1.7677142481290726e-17j),0j,0j,(-0.03146141736035968-0.928631598558723j),0j,(0.13311373269464097+0.06801026822145628j),(0.33588784494178214-0.03857753984974416j),0j
18.0,(3.224451937433758e-18-1.0381742619512869e-18j),0j,0j,(-0.16323304683833018+0.7062263914042228j),(-0+0j),(0.41219863393772765+0.4771158017346856j),(-0.20766336813692393-0.18419549384556846j),0j
20.0,(6.3325992983391226e-18+4.347947615851327e-18j),0j,0j,(0.5581648596828633-0.40426072373646177j),0j,(0.3442697290182321-0.22017743424132508j),(-0.5183668314913501-0.2988667525863643j),0j
