,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-1.1053727432777193e-17-3.9274570133362456e-17j),0j,0j,(0.44993422386662457-0.2810934906377027j),(-0+0j),(0.20001569329318628+0.47128981394917197j),(-0.12871597917550437+0.6632175164482178j),0j
4.0,(-1.5594229170992103e-17-3.0672044224078126e-18j),0j,0j,(0.8372579599304719-0.2366858987195844j),0j,(0.006268731160625013+0.031117151560317316j),(0.11883644713860753+0.4773355408936646j),0j
6.0,(2.6477530421429678e-17-4.259407227256458e-18j),0j,0j,(0.17148812515204598+0.7159676051008714j),0j,(0.406578706964846+0.4359393693991341j),(-0.2418200264198643-0.21013307081688432j),0j
8.0,(-8.281881408580991e-18-1.6609880967975456e-18j),0j,0j,(-0.2084610156569771-0.7637731745190377j),(-0+0j),(-0.20357005736462616-0.18822983113731678j),(-0.4003355658424797+0.36885598812074905j),0j
10.0,(1.6439410577002526e-17+7.105488955409444e-18j),0j,0j,(-0.1350503282249626+0.4394010910176418j),0j,(0.6055605813478868-0.11576033217704171j),(0.5288641300203061-0.35900800805632566j),0j
12.0,(-1.6426175502111274e-17+8.344768760766672e-17j),0j,0j,(-0.17278909089440672+0.06761130306890614j),0j,(0.3567080945937857-0.19958987566968975j),(-0.21406406890819418-0.8675669616514368j),0j
14.0,(7.126020502273887e-19-1.1893301575362925e-17j),0j,0j,(-0.158891174345578-0.28032055107095855j),(-0+0j),(0.023399302224154955-0.31859332211496205j),(0.8892302506486245-0.058260728221639135j),0j
16.0,(2.3379460279177827e-17+1.0511458218197478e-17j),0j,0j,(0.7705670623833973-0.3312748488452287j),(-0+0j),(0.1704590890046721+0.38494415927744424j),(-0.023715711292453145+0.3445034617303052j),0j
18.0,(1.1409795506512747e-17+6.288253154015992e-18j),0j,0j,(0.5010546766272735+0.6775932529340125j),0j,(0.4096142294296983-0.17510062498891382j),(-0.2132769571398253+0.21419731169794073j),0j
20.0,(3.8164509347253305e-17-2.1467755924627705e-17j),0j,-0j,(-0.40019346948919454-0.5202533458438869j),(-0+0j),(-0.4679439201039195-0.3764898462026078j),(-0.029318014967243733+0.45563799277379885j),(-0+0j)
