,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
25.2,0j,0j,0j,0j,0j,0j,0j,(0.14425587083690225+0.01745861199993334j),0j,0j,0j,(0.05961763028988066+0.08976574626327764j),0j,(0.13297697314295703-0.08604233591128942j),(0.04995602386526895-0.0233612927263499j),0j,0j,0j,0j,(0.1324912411245991-0.08738467789907094j),0j,(0.07368738812370887+0.2581486411517523j),(0.07301948834717971-0.19609162751543616j),0j,0j,(0.07530599251612781-0.1949824230760073j),(0.09265212011905921+0.00158672452168406j),0j,(0.1442255038304893+0.013473052879140654j),0j,0j,0j,0j,0j,0j,(0.04783072920144704-0.02422135047619751j),0j,(0.07605267672431228-0.19764471562042737j),(0.08930728197026827+0.0013087488412184018j),0j,0j,(0.09090591941556965-0.00036668180615668887j),(-0.7644579911052477+0.06407931066993754j),0j,(0.05884349925672447+0.09051452246112295j),0j,0j,0j,0j,(0.14193011390729943+0.013684772049393801j),(0.059026690740102306+0.09200248656820931j),0j,(0.1325246437998861-0.08855140902716357j),0j,0j,0j,(0.049745286155018185-0.023728723213464087j),0j,0j,0j,0j,0j,0j,0j
27.72,0j,0j,0j,0j,0j,0j,0j,(0.09020179845868455+0.11951843715472242j),0j,0j,0j,(-0.07291692853827843+0.004833556893912339j),0j,(0.07554905957582919-0.023946817572438536j),(-0.048473660944880134-0.005970668948939849j),0j,0j,0j,0j,(0.07572385250886025-0.02109037404632989j),0j,(-0.3385923438554406+0.8064488139000575j),(-0.10191644121657088-0.0783546892117683j),0j,0j,(-0.10214533044068957-0.07773003294222791j),(-0.03852466052722722-0.07824385123942335j),0j,(0.08906877045540422+0.12018212138278754j),0j,0j,0j,0j,0j,0j,(-0.04899967201892712-0.005811032979964532j),0j,(-0.1033199487268743-0.07784073095998634j),(-0.03541795827625986-0.08010257311435086j),0j,0j,(-0.03458159054714673-0.0772610495284901j),(-0.2142758972445607-0.08662615451192515j),0j,(-0.07474008508520438+0.001083751363001148j),0j,0j,0j,0j,(0.0887519003816835+0.12077706791534416j),(-0.07592126406713488+0.003062739878166908j),0j,(0.07365846304959375-0.020307811215033854j),0j,0j,0j,(-0.0476233138314743-0.007057660901841507j),0j,0j,0j,0j,0j,0j,0j
30.24,0j,0j,0j,0j,0j,0j,0j,(0.0866532214932445+0.0173601069052618j),0j,0j,0j,(0.12727654597016166-0.04803663620551464j),0j,(0.09770938835248548-0.04740324458967562j),(0.06442722592654256+0.15861393697098616j),0j,0j,0j,0j,(0.09542001400458165-0.04877142769808236j),0j,(-0.6141738498227947-0.06235489374077963j),(0.08943262473163116-0.10964694026175208j),0j,0j,(0.09072687186132126-0.10764361063277424j),(0.02601949067909836-0.12721317911452054j),0j,(0.08456034571006142+0.019632473584741673j),0j,0j,0j,0j,0j,0j,(0.06610742880943202+0.15875413872344152j),0j,(0.09162627388914425-0.10783255095076702j),(0.025476023859880934-0.12885442987009835j),0j,0j,(0.025414714286681385-0.12917752986787995j),(0.139220747328858+0.5344661945144222j),0j,(0.1257558832923105-0.04764387837393361j),0j,0j,0j,0j,(0.08745510417045607+0.020889663289991926j),(0.1255359870316317-0.047614233341451914j),0j,(0.09973033794927434-0.05124643505125289j),0j,0j,0j,(0.06560834097689403+0.1596011404544813j),0j,0j,0j,0j,0j,0j,0j
32.76,0j,0j,0j,0j,0j,0j,0j,(0.043954768975856956-0.02644856839769721j),0j,0j,0j,(-0.14273183894402988+0.03805089251857563j),0j,(-0.024112410152742354+0.021980820983143596j),(0.183904526800419+0.009270181522241495j),0j,0j,0j,0j,(-0.02609274318964479+0.02106375686658152j),0j,(-0.029278941876693013-0.10834644843875953j),(-0.0622629130123642-0.007015548711859996j),0j,0j,(-0.06358063562982884-0.0062188385462203614j),(-0.10017053672985621+0.21857216085729883j),0j,(0.04462994094644771-0.028216651734474324j),0j,0j,0j,0j,0j,0j,(0.18469399095701605+0.010311800677980864j),0j,(-0.06427645033441386-0.006310033025808928j),(-0.10221502663714896+0.2190848782826407j),0j,0j,(-0.100047878676136+0.21609210991180017j),(0.7404316029333955+0.27391985662942414j),0j,(-0.1436205291981697+0.03303671444452712j),0j,0j,0j,0j,(0.042903614503436265-0.02714649345345964j),(-0.14626422258525332+0.035227653706636955j),0j,(-0.024922619355042728+0.02158724962922115j),0j,0j,0j,(0.1824993123081395+0.010854369378027697j),0j,0j,0j,0j,0j,0j,0j
35.28,0j,0j,0j,0j,0j,0j,0j,(0.17594166935392946+0.09228620513427636j),0j,0j,0j,(-0.11915737259883369-0.193247284102362j),0j,(-0.04128788179931691-0.06128409285364627j),(0.07401676703051288-0.10183883221158023j),0j,0j,0j,0j,(-0.04307815467031445-0.06011538733884956j),0j,(0.6742848362787585-0.06242150016605961j),(-0.059765095202908194+0.05424557969150349j),0j,0j,(-0.05660589732321621+0.05821794247720767j),(-0.11987734282741483-0.16531014955012746j),0j,(0.1754857675905787+0.08880960627385975j),0j,0j,0j,0j,0j,0j,(0.07377949683330978-0.10153546378077578j),0j,(-0.0557773474906654+0.055064425377909586j),(-0.11647788302938504-0.16560493337017182j),0j,0j,(-0.11892164143146992-0.16385272468627066j),(-0.05753686466153941+0.2465229553248893j),0j,(-0.12016509632283182-0.19197958790023226j),0j,0j,0j,0j,(0.17418842689109845+0.09122806501790713j),(-0.11857117546691655-0.19289118018359117j),0j,(-0.041850876231373235-0.0620768764767271j),0j,0j,0j,(0.07251620835964782-0.10053953093309374j),0j,0j,0j,0j,0j,0j,0j
37.8,0j,0j,0j,0j,0j,0j,0j,(0.17780328935624665+0.0683672020135599j),0j,0j,0j,(0.013529872893385194+0.007468973121834717j),0j,(-0.20281629132649737+0.20124582268247618j),(0.07405213550681558-0.07253289671235913j),0j,0j,0j,0j,(-0.20267552165172253+0.19866612473830636j),0j,(0.4841959931557103-0.0875351382326659j),(-0.038363625339895804+0.27574872644383197j),0j,0j,(-0.03981047860284443+0.2783517009137278j),(0.0009539223482968084-0.04792650932904435j),0j,(0.17810717568935786+0.07062013040246183j),0j,0j,0j,0j,0j,0j,(0.073140469280211-0.07460422765566703j),0j,(-0.03690339256716823+0.27687313565539406j),(0.00011245733682337507-0.050080113698783874j),0j,0j,(0.0033232785378689536-0.048724149442635686j),(-0.023736020002457572-0.3597791330348069j),0j,(0.013117782544918886+0.005232195126968532j),0j,0j,0j,0j,(0.17826054764006077+0.06789137896645418j),(0.012174346090582058+0.00758408887587576j),0j,(-0.20158492768772796+0.1999864239652272j),0j,0j,0j,(0.07713060047915365-0.07519616958173567j),0j,0j,0j,0j,0j,0j,0j
40.32,0j,0j,0j,0j,0j,0j,0j,(-0.055853135707054205-0.13762811470467604j),0j,0j,0j,(0.0009889680779477284+0.08713802871900997j),0j,(-0.25485402610509966+0.0032866484044344123j),(0.1808767060957243+0.005458691295831373j),0j,0j,0j,0j,(-0.2588550299335101+0.00491051173186861j),0j,(-0.014218289067869788-0.20907519974767128j),(-0.22044074306115957-0.03659366481178748j),0j,0j,(-0.22028974517965322-0.0368407660770256j),(0.12131821218384879+0.0650451781610998j),0j,(-0.0541527715541258-0.13610977628409385j),0j,0j,0j,0j,0j,0j,(0.18016337414401434+0.005538679039435148j),0j,(-0.2215445785729657-0.035969141039249745j),(0.12449702013396302+0.06617269067222632j),0j,0j,(0.12089711017082416+0.06727600030111398j),(0.14783957295809844-0.5858682155433812j),0j,(0.0029217393976160334+0.08675044140237488j),0j,0j,0j,0j,(-0.0543105479077293-0.13661816377079705j),(0.0016252994082877606+0.0839873478005856j),0j,(-0.25710817417469395+0.0012266336078300942j),0j,0j,0j,(0.17933227649779823+0.0035170804480843644j),0j,0j,0j,0j,0j,0j,0j
42.84,0j,0j,0j,0j,0j,0j,0j,(-0.06093686854036512-0.0848367675874983j),0j,0j,0j,(0.2791648539609976+0.18249783248315238j),0j,(-0.001963783882463375-0.10456084592669064j),(0.14679399321032263-0.11350906116044288j),0j,0j,0j,0j,(-0.00494724499016237-0.10614961363978713j),0j,(-0.4305147868448349+0.020386127247369913j),(-0.0865980907158082-0.07219133304431068j),0j,0j,(-0.08510160385534492-0.06953620645672892j),(0.2460843655783608+0.021128630202663038j),0j,(-0.062149055793774347-0.08399735770430011j),0j,0j,0j,0j,0j,0j,(0.14991749916075575-0.11455334689779387j),0j,(-0.08426384946111501-0.07374997947095834j),(0.2447394308451241+0.02280846418731502j),0j,0j,(0.24537791847512636+0.021233059919498722j),(-0.2972458828101666-0.04282592170964597j),0j,(0.2795402510032121+0.1808519119423049j),0j,0j,0j,0j,(-0.06035001802669042-0.08452067829662502j),(0.27931264280528445+0.1822706024261467j),0j,(-0.003930670114294624-0.10747333501564572j),0j,0j,0j,(0.15025155965237733-0.11090251470209152j),0j,0j,0j,0j,0j,0j,0j
45.36000000000001,0j,0j,0j,0j,0j,0j,0j,(-0.011702654854200795+0.14380612293007922j),0j,0j,0j,(-0.09882446711917302-0.1610316325971423j),0j,(-0.03496465536356661+0.14949409494129523j),(0.05832729938948859-0.1357458267182216j),0j,0j,0j,0j,(-0.033969906169965654+0.15042647422347377j),0j,(0.21440118600362973-0.3852890907886898j),(0.08463133529657327+0.1557748471722896j),0j,0j,(0.08431630860381052+0.15742514083977563j),(-0.06450547803966765-0.20064878783867926j),0j,(-0.010755268043098672+0.14443140942520083j),0j,0j,0j,0j,0j,0j,(0.06025146173833654-0.13594503903434538j),0j,(0.08594458546370923+0.15533570860806278j),(-0.06398691955351696-0.19654257310952114j),0j,0j,(-0.06597195824479846-0.19756951569586925j),(0.2873732547612463-0.43988787869537566j),0j,(-0.09947604004198156-0.15850989002675764j),0j,0j,0j,0j,(-0.01025681480826291+0.14315306019931145j),(-0.095604356717342-0.15743398364733097j),0j,(-0.03699265675674132+0.15139778896826966j),0j,0j,0j,(0.05914911484555743-0.13422619176884137j),0j,0j,0j,0j,0j,0j,0j
47.88000000000001,0j,0j,0j,0j,0j,0j,0j,(-0.17533722705065677+0.07961475272011279j),0j,0j,0j,(0.09141072474556719+0.18368387658486213j),0j,(-0.2716770719899661-0.009617746745706052j),(0.02841109825234812+0.05518545397796727j),0j,0j,0j,0j,(-0.2702526226492352-0.009324415565652262j),0j,(0.2687016226058414-0.49293293275804945j),(-0.1614872625714202+0.05549947833676147j),0j,0j,(-0.1612813275734481+0.05235280826965255j),(0.10688613153067782+0.09650146006975745j),0j,(-0.17425530531413613+0.07930638646636909j),0j,0j,0j,0j,0j,0j,(0.03064793562844023+0.05368237168288038j),0j,(-0.16552731879486812+0.05421800075489941j),(0.10577325340744617+0.09622171402600777j),0j,0j,(0.10694284166997695+0.09364617083297919j),(0.23871399156744325-0.10800280753429983j),0j,(0.09110428367494793+0.18157135913680444j),0j,0j,0j,0j,(-0.17404883835215487+0.07873969316245621j),(0.08991295024529268+0.18114463036249376j),0j,(-0.27049140874108674-0.006603109848216608j),0j,0j,0j,(0.029933120159203252+0.05686748500240475j),0j,0j,0j,0j,0j,0j,0j
50.40000000000001,0j,0j,0j,0j,0j,0j,0j,(-0.0750381607917382-0.10114428549183321j),0j,0j,0j,(0.15632071213619014+0.06456715706545939j),0j,(-0.07696013740606318-0.08141775036097011j),(-0.007022123131288439+0.14780482820186303j),0j,0j,0j,0j,(-0.07686318577686187-0.08040413546980157j),0j,(-0.2537504784784099-0.5519899375004055j),(-0.12576957453346602-0.06500946260482897j),0j,0j,(-0.12628034221218312-0.06861834149549512j),(0.1741745990812323-0.027978658336035335j),0j,(-0.07889482786782413-0.09981775531390666j),0j,0j,0j,0j,0j,0j,(-0.007492057951361412+0.15073667559013484j),0j,(-0.12812561523889476-0.06734583590638575j),(0.17393620814765476-0.025745008687439327j),0j,0j,(0.1724689074197368-0.026078093631848924j),(-0.4837941055419476-0.05997814662970367j),0j,(0.15762016001038884+0.06633156405804325j),0j,0j,0j,0j,(-0.07722868196038894-0.0977192408889329j),(0.15865693437816894+0.06538186401947854j),0j,(-0.07901849748793958-0.08082045288272159j),0j,0j,0j,(-0.008210343473986323+0.1478233584112206j),0j,0j,0j,0j,0j,0j,0j
