,0,1,2,3
2.0,8.310071192397377,2.94350115196545,5.082051473396906,3.0300237970058497
4.0,4.543658829830216,2.279552637090243,5.503955660840463,6.342922775644514
6.0,-1.7708804489283592,1.9516623010669911,9.012685768218347,-4.479621115149731
8.0,-0.009171726653221468,0.3133467611554653,3.607620935636407,3.5133031968339443
10.0,-3.7706274128903177,-1.9768630364353967,2.8429921813040715,6.386690179223331
12.0,6.018764456393104,6.709516781497743,3.5388661583119987,-0.3770259022376385
14.0,2.8118506556583167,1.8373853112145395,5.041992938055471,5.886113056664769
16.0,-4.103952826069517,10.529938137466534,-6.984310727721665,-4.026446535175711
18.0,1.8431295970072672,4.195543113091754,1.7000024112299945,4.131089538441378
20.0,4.356244125362452,4.03760206170417,5.1471988766504015,6.433272437865317
