,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
12.5,0j,0j,0j,(-0.022042607418662888-0.061300227028184565j),0j,(-0.19192014437310476+0.05952321886084206j),(-0.1252575754152885+0.1750384589999585j),0j,0j,(0.35705829177859494-0.02362274892473231j),(-0.1835551404872307+0.042499590032268414j),0j,(0.002764067239943154-0.04184890121121246j),0j,0j,0j,0j,(-0.19504327811350292+0.022457318904249554j),(-0.059467621504609006+0.2427854823244265j),0j,(-0.3372535953351395+0.26569368363896445j),0j,0j,0j,(-0.040315522970952936-0.0770432342855173j),0j,0j,0j,0j,0j,0j,0j,0j,(0.052766101850307445+0.0022346342761507126j),(0.37186435441921406-0.42143051279500676j),0j,(-0.11768275441498405+0.17289490252375894j),0j,0j,0j,(-0.18348736340401578+0.04257541430724529j),0j,0j,0j,0j,0j,0j,0j,(-0.14200489093613755+0.18099916128726082j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
13.75,0j,0j,0j,(-0.24632616094921356+0.23192351160839625j),0j,(0.03308517360451098-0.06003924562052266j),(0.23349694623454953-0.08838341308222863j),0j,0j,(0.14945507645455539-0.2523351768244637j),(-0.10564901684593403-0.20611556468365516j),0j,(0.03728443197693356-0.1595976953995265j),0j,0j,0j,0j,(-0.05204826380996898-0.1316022326876406j),(0.04285704920107174+0.15156740450377318j),0j,(0.25842622766071544+0.18207736895315252j),0j,0j,0j,(0.029556568838925483-0.15548672147000558j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.19088877317823047+0.2105590902264661j),(0.07770656557052939-0.525067323909406j),0j,(0.0025984616518887477+0.12849659286649706j),0j,0j,0j,(-0.10549183065621584-0.20595408026498813j),0j,0j,0j,0j,0j,0j,0j,(0.21828917663896602-0.04405941298250257j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
15.0,0j,0j,0j,(0.24645635222788603+0.057673465707235624j),0j,(0.07793046083679424-0.082124699465082j),(-0.042662367327109596+0.05118799627759741j),0j,0j,(0.020747458589935264+0.15993806565988064j),(-0.06482561662378993+0.3162129933087953j),0j,(-0.04405471640409722+0.10634209146706675j),0j,0j,0j,0j,(0.07300017087541488-0.05004244175142085j),(0.019519750225465503+0.1726872717756024j),0j,(0.4101734591991121-0.19756648520655912j),0j,0j,0j,(-0.0565438416471303+0.13224962078852961j),0j,0j,0j,0j,0j,0j,0j,0j,(0.313683816869064+0.06300916743782502j),(-0.1829614351144494-0.47595490666006723j),0j,(-0.08001231172873301+0.18764815961232725j),0j,0j,0j,(-0.06465472386736926+0.3161723863198491j),0j,0j,0j,0j,0j,0j,0j,(-0.010892977933173606+0.03116969395689901j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
16.25,0j,0j,0j,(-0.044334125966964955-0.1741986357697275j),0j,(0.12116207483186989+0.06205406354093495j),(0.1106645082409077+0.01538369117533877j),0j,0j,(0.13555365784830398+0.22324425667594025j),(-0.2735684439604682+0.10419514716670401j),0j,(0.2224106955166401-0.05697273632290338j),0j,0j,0j,0j,(0.20901312458866644+0.023118066056451454j),(0.007328901788481529-0.28452186682266245j),0j,(0.18620790027766954+0.36130389903640747j),0j,0j,0j,(0.17284827480886306-0.07765821345659184j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.019081708732713767-0.11211010914303418j),(0.2370890952592055-0.32463226465907824j),0j,(-0.04661780122456375-0.3486785571849587j),0j,0j,0j,(-0.27362628811002104+0.104474910621581j),0j,0j,0j,0j,0j,0j,0j,(0.13902202903131533+0.017647425377739737j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
17.5,0j,0j,0j,(-0.3106723326891978+0.013979166733218251j),0j,(0.09751138448120078+0.05606699578128185j),(0.10101800403118612-0.004661546612220423j),0j,0j,(0.010798879828237823+0.4779136132889944j),(-0.28446408721691563-0.22588814388683914j),0j,(0.1707411822016034-0.05747784391633201j),0j,0j,0j,0j,(0.1702187531251747+0.0029498666549987347j),(-0.03646408241296528-0.12006088495136309j),0j,(-0.31552796206844264+0.07260471464389136j),0j,0j,0j,(0.1897088071346505-0.08095709801445201j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.2927667722956511+0.023073861865573544j),(-0.21989736670439172-0.08777153758730093j),0j,(-0.019075927833556418-0.12808567397144105j),0j,0j,0j,(-0.28457055597045605-0.22564329046867793j),0j,0j,0j,0j,0j,0j,0j,(0.06625776037783354-0.005521361471262837j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
18.75,0j,0j,0j,(-0.14139567787591825+0.02249152175327839j),0j,(-0.26060792729828003+0.46996933324418666j),(0.1318113425938251-0.024448683268182007j),0j,0j,(-0.2545603370219815-0.16814839350612915j),(0.21905080374370084+0.019621901620546438j),0j,(-0.10308303776916827+0.01907042412981863j),0j,0j,0j,0j,(-0.2813652992408129+0.4582396953616472j),(-0.061700494396620634-0.06313636308499176j),0j,(0.02589298239323551-0.26076746414770324j),0j,0j,0j,(-0.09255326669651467+0.09269020739428857j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.14689519395568507-0.015583168657804515j),(-0.19946154696245466-0.027153040140625327j),0j,(-0.06775627804074219-0.010504272553711128j),0j,0j,0j,(0.2191042267031162+0.019446589263479114j),0j,0j,0j,0j,0j,0j,0j,(0.14358743933028195-0.038617064411149364j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
20.0,0j,0j,0j,(0.3179097939724644-0.15266187914786972j),0j,(0.08331469848158612+0.35321436925918476j),(-0.11973806902240616-0.33351338107331713j),0j,0j,(0.12331436743195366-0.24334000941974618j),(-0.01541740197047924-0.15780420756403668j),0j,(-0.05518692259849595+0.17167107705761775j),0j,0j,0j,0j,(0.03602454967288214+0.3979453635122371j),(0.09294325627850061-0.031788885307912955j),0j,(-0.052806420028773726-0.181191494869218j),0j,0j,0j,(0.01563955067699742+0.1339280811818625j),0j,0j,0j,0j,0j,0j,0j,0j,(0.26038122512005424-0.18387871649684445j),(-0.11534556286679393-0.09103285761326121j),0j,(0.10141079054392407-0.01907106154314195j),0j,0j,0j,(-0.015584320466155203-0.15802246479516197j),0j,0j,0j,0j,0j,0j,0j,(-0.07087911215182335-0.31477914183101835j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
21.25,0j,0j,0j,(0.023886777347429413-0.15616255343286045j),0j,(-0.21261914745326876+0.27305796735054355j),(-0.2387035641381682+0.07704827468114593j),0j,0j,(0.2705664747590243+0.01033681253780656j),(-0.0543197547898493-0.15444318188202574j),0j,(-0.010991278423155754+0.2064116704126231j),0j,0j,0j,0j,(-0.20846124326398432+0.2570771108949103j),(-0.09404088471573106+0.194781121733615j),0j,(0.2671474452340088-0.18119576152503603j),0j,0j,0j,(-0.006261340454947542+0.16654794934348832j),0j,0j,0j,0j,0j,0j,0j,0j,(0.018466085946635888-0.17323053114940135j),(-0.3102904551841201-0.30604971771963163j),0j,(-0.11299905827046502+0.22691474742319667j),0j,0j,0j,(-0.05422671106347363-0.15459502937727776j),0j,0j,0j,0j,0j,0j,0j,(-0.21422027783820632+0.06265089426513154j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
22.5,0j,0j,0j,(0.04576780458301704+0.03243968107772206j),0j,(0.16477545662209098+0.2088118742576139j),(0.15830592400467391+0.11675967076819721j),0j,0j,(0.3336069640677006-0.22531287273756134j),(0.10230829333989001-0.2850481079363646j),0j,(-0.14712417984465787-0.12125403305286538j),0j,0j,0j,0j,(0.1279879955391105+0.13527759088332345j),(-0.16915273966039887+0.13045653918957834j),0j,(0.5067444989395815-0.22966779993725425j),0j,0j,0j,(-0.15969229715468075-0.02483917568292751j),0j,0j,0j,0j,0j,0j,0j,0j,(0.04210965401971436+0.024392925658624654j),(-0.13690947171157744+0.003519200534697847j),0j,(-0.13288867926169837+0.16041191433028293j),0j,0j,0j,(0.102415307525358-0.2853862881627683j),0j,0j,0j,0j,0j,0j,0j,(0.1260651698604729+0.09469841447200902j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
23.75,0j,0j,0j,(-0.14035166686197253+0.023886827804539573j),0j,(0.07684822552081999-0.03987791910683035j),(-0.030611916506179174+0.05425535521089536j),0j,0j,(-0.15489538448552392+0.2803358801258704j),(0.13820828012402447+0.18397909454871791j),0j,(0.37431599438706575+0.060338902496590116j),0j,0j,0j,0j,(0.09787696119962755-0.013980735469219484j),(0.17450666470828652+0.13022133186797777j),0j,(-0.346411252034372-0.45830523398959866j),0j,0j,0j,(0.3515212092633232-0.024072920921841545j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.1177533073869756+0.044299082104456655j),(0.19835973777035235-0.11756128442351171j),0j,(0.13659263131091096+0.1228037436888604j),0j,0j,0j,(0.1381342412066369+0.18417126469344242j),0j,0j,0j,0j,0j,0j,0j,(-0.014848081459673937+0.04170493860072786j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
