,0,1,2,3,4,5,6,7
0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2,(-1.3097972872520243e-17+5.079753899611587e-18j),0j,0j,(0.07635290753981633-0.5599119235152039j),(-0+0j),(0.5547811008403659+0.13739472201135658j),(0.3678469093986158+0.4676517327834698j),0j
4,(5.9367660566807325e-18-8.762096962144277e-18j),0j,-0j,(-0.6475884119214295-0.5943655895792979j),(-0+0j),(-0.02029797919997864+0.14142719876710708j),(0.17779140384441022-0.4187306423913297j),(-0+0j)
