,0,1,2,3,4,5,6,7
0,0j,0j,0j,0j,0j,0j,(1+0j),0j
1,(7.433083853791743e-18+1.7856739796115796e-17j),0j,0j,(-0.11019397821892049+0.20170985632099817j),0j,(-0.3692358711076819-0.20171334351522424j),(6.3831916905510155e-06-0.8775802068881035j),0j
2,(5.958710442221019e-18-1.7580086091456027e-17j),0j,0j,(-0.4414770278569837+0.3741452535503997j),0j,(-0.3559696584218351-0.420030523749964j),(0.03456146620910944-0.6006486739976378j),0j
3,(6.58801121785958e-18+3.3523623295949856e-18j),0j,0j,(-0.8020039109970457+0.3187246335319348j),0j,(-0.1177762868546277-0.2963594047733281j),(-0.009524036380743867-0.39168032489969473j),0j
4,(-4.2871788033982404e-19+4.5357565600102486e-20j),0j,0j,(-0.9355748413760214+0.1171006350139217j),(-0+0j),(0.00952214078855957+0.07607708836726326j),(-0.06620508968155536-0.3173730439470065j),0j
5,(4.1481836603848325e-18-4.780052623879036e-19j),0j,0j,(-0.8595457514221865-0.0874903086524203j),(-0+0j),(-0.0437782408148194+0.4300979328648701j),(-0.09153565190760686-0.24134416361360012j),0j
6,(-1.1217557917707177e-18+8.892369095558387e-21j),0j,0j,(-0.24638248845494162+0.57845743932363j),0j,(0.7113674715140903+0.3029928840442897j),(-0.07311959539115254+0.038572240457452736j),(-0+0j)
7,(-1.0557821262709576e-18-3.554559165887618e-18j),0j,-0j,(-0.12234322795753148+0.10932937070231132j),(-0+0j),(0.6302322028725992+0.7052509455319639j),(0.2377629474912997-0.1482446571166731j),(-0+0j)
8,(-7.794225631097876e-18-2.0542682892690872e-18j),0j,0j,(-0.05317356591792549-0.2191917378043005j),0j,(0.6595272518384119-0.15999424135050583j),(-0.37060217976848214-0.5926273914812747j),0j
