,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(5.127659541060961e-17+7.944208758592747e-18j),0j,0j,(0.325002359476773+0.4731996722284897j),0j,(-0.4892408032763437+0.2197606423243086j),(-0.6151379529878811-0.06640430577895484j),0j
4.0,(-2.56385767747095e-18-1.417177586960532e-18j),0j,0j,(0.8599106599255475-0.132057209740558j),(-0+0j),(-0.06734735295055082-0.11593923208154164j),(0.18982229507735965+0.4348614435753162j),0j
6.0,(2.075820705242488e-17+2.834718404979082e-17j),0j,0j,(0.19835874932154463-0.6201822452566697j),(-0+0j),(0.013814502847931676-0.6832646327144882j),(0.01570447811811876+0.3297571224335052j),0j
8.0,(-1.698221062855778e-18+4.2220816590282855e-19j),0j,0j,(0.7417666169629769-0.4051633435980905j),(-0+0j),(0.0829816985449209-0.14500134622905414j),(-0.3744940942784075-0.34273571686165555j),0j
10.0,(1.1525945007963488e-17+7.825899054219012e-18j),0j,0j,(-0.06525372006507177+0.4377679778373491j),0j,(0.7475905746768334-0.1542474425059086j),(0.3155105427724483-0.34909927833218163j),0j
12.0,(-1.9058610804067884e-18+1.687077352721135e-17j),0j,0j,(0.025567622314684547+0.025677352211884292j),(-0+0j),(0.19297848546990548+0.3158845678112412j),(0.7640924964335263-0.52709190008099j),0j
14.0,(4.838101903994494e-17+1.6853831745393967e-17j),0j,0j,(-0.17969435108427861+0.2469377700948264j),0j,(-0.44298595142134733-0.2997372114225525j),(0.07546498006965696-0.784192428938227j),0j
16.0,(2.903803578781581e-17+1.3063320295069805e-17j),0j,-0j,(0.8523339109087058-0.17689201270248472j),(-0+0j),(-0.11698337563540774+0.273293915980324j),(0.15404435010166775+0.3607378323269878j),(-0+0j)
18.0,(1.1605802989202297e-19+6.312060879453846e-18j),0j,0j,(0.4765913219283309+0.554048905745587j),0j,(0.5910151215304703-0.07230323181646697j),(-0.29591986443868085+0.15425733216458026j),0j
20.0,(4.6692019599682057e-17+2.730353075697696e-17j),0j,0j,(0.2144954379424675+0.7220714104193918j),0j,(0.07286190459744799+0.43141279465406185j),(0.32816096365567-0.36536161642488707j),0j
