,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-9.500656648351115e-19+4.0367196858692343e-17j),0j,0j,(0.38797393831145477-0.3650208304858793j),0j,(0.3435333543074369+0.4586735871815962j),(-0.03294404314208449+0.6218955550767336j),0j
4.0,(2.7340218479244296e-17-3.484340483332283e-17j),0j,0j,(0.7756333770524008-0.3788336745775276j),0j,(-0.09224551187260784-0.10260594974017404j),(0.3107376356445892+0.37320613314851053j),0j
6.0,(1.193756367643123e-17+3.3078676028066847e-19j),0j,0j,(0.07070815084699417+0.6686500051822735j),0j,(0.27430538221537265+0.6061803470323024j),(-0.12485981032409704-0.29936516146480796j),0j
8.0,(-1.6439034066588018e-18-5.1484958439315525e-18j),0j,0j,(-0.6907575605309599+0.35542172205175426j),(-0+0j),(-0.010849777302787217+0.2044513643647286j),(0.4370325667333313+0.40449208845098483j),0j
10.0,(-1.0948836785397894e-17-3.1348339835791716e-17j),0j,0j,(-0.30219660265042947+0.191682461501465j),(-0+0j),(0.6476717601681669+0.25467581739875966j),(0.6065494088748504-0.14033667021056803j),0j
12.0,(-5.237889457340911e-17-3.8074834936565716e-17j),0j,0j,(0.12799226485872045+0.09809723146899604j),0j,(-0.2118770585131565-0.10185469171661214j),(-0.4795698843141271+0.8299044362000451j),0j
14.0,(-5.6668429630378494e-18+9.117340531201088e-18j),0j,0j,(0.4908105584015115-0.036104649090094004j),0j,(0.19898605602392344+0.4132673678469907j),(-0.44368704301334533+0.5920792937762778j),0j
16.0,(3.1827993832586733e-18-3.631394928310191e-18j),0j,0j,(0.9539537982272662-0.1555306127274791j),0j,(0.0014299619442396903+0.06153473000669693j),(0.032871790693284914+0.2468061120411011j),0j
18.0,(6.6760813430706406e-18+4.597988036542041e-19j),0j,0j,(-0.43224077351604245+0.5476276366467941j),0j,(0.20621540974520058+0.6409472074228162j),(-0.07195125591123827-0.2340016755158112j),0j
20.0,(-9.73733269022369e-18+4.95630353398666e-21j),0j,0j,(0.5310384955950477+0.40151419994950216j),(-0+0j),(0.2893787315388257+0.2416206915791652j),(0.17927890286329445-0.6184843810129554j),0j
