,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-5.414438052800806e-18+3.080775859866261e-17j),0j,0j,(-0.4158225071373361-0.3866905116445052j),0j,(0.47877017140920464-0.31597092093987733j),(0.5876029102631604-0.05680150263506839j),0j
4.0,(-7.988768259385268e-18+1.0268185057667688e-17j),0j,0j,(0.2861771824710633+0.8060972852594974j),0j,(0.1253229684830575-0.0934290526207404j),(-0.4016754177701161+0.2872835035054745j),0j
6.0,(2.6086815295962322e-17+2.0502754556817737e-17j),0j,0j,(0.637990603847461-0.17373022661259283j),0j,(0.5619919333796098-0.35992722782058023j),(-0.24385659764978246+0.24070150609375515j),0j
8.0,(-4.226598596153699e-18-4.33309270598887e-18j),0j,-0j,(-0.6588699574195355+0.569031117934879j),(-0+0j),(-0.08017717159541152+0.13460939972658703j),(0.4013536110311625+0.23761560471529403j),(-0+0j)
10.0,(1.0384387644697689e-17-1.9612151973771084e-17j),0j,0j,(0.2822093930715942-0.43300412753876544j),(-0+0j),(-0.6637117072266308-0.2051961111635217j),(-0.4820037622988321+0.133861804783906j),0j
12.0,(-5.185192814161361e-17-1.1812225776485065e-17j),0j,0j,(-0.0450385999917705+0.0047567163698995114j),0j,(0.09969269409331577+0.35509867997454847j),(0.9189919930034374-0.1317911574441838j),0j
14.0,(-8.999409797001565e-18-1.1668317019237166e-17j),0j,0j,(-0.26709752905625417+0.12770035996281487j),(-0+0j),(-0.27050564961138185-0.26042596394771783j),(0.2781998020058083-0.8330434616702579j),0j
16.0,(-3.3645168861859253e-18-3.637104938737586e-17j),0j,0j,(-0.3099286443355459-0.802883286570788j),0j,(0.27643774773121915-0.09048032833365857j),(0.41689949191443715-0.030215211748876203j),0j
18.0,(-3.513148270869593e-18+4.467059824703011e-17j),0j,0j,(0.8623760018169284-0.06265613378248297j),(-0+0j),(0.11454441207121097-0.4146334006634691j),(-0.0009248904052481244+0.2594989512212468j),0j
20.0,(1.6460425221329e-17-4.3173518809049717e-17j),0j,0j,(0.6211033652774068+0.335354013032346j),(-0+0j),(0.5522035464202467+0.1249313113673989j),(-0.17594821299522806-0.38765181889021305j),0j
