,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(1.184084185192002e-17+5.922796965967474e-17j),0j,0j,(0.3946812753470626-0.4163863157992687j),(-0+0j),(0.4099641810405739+0.4417465603200684j),(0.010027066783413918+0.5545610259893572j),0j
4.0,(1.1446867872386966e-17+2.9062653770449527e-18j),0j,0j,(-0.3992231554849744-0.8028943512416036j),0j,(-0.14764580808040526+0.1399996008545092j),(0.2598751941670316-0.2950376983411702j),0j
6.0,(-1.5821581651592308e-17-1.4344678010195736e-17j),0j,0j,(0.4412806514429647-0.4101700327434134j),0j,(0.4121808681771063-0.6014095146806445j),(-0.22740887242556046+0.23179875582891624j),0j
8.0,(3.346234201334627e-17-2.754323704047186e-17j),0j,-0j,(0.7121662527793128+0.3070458390728678j),(-0+0j),(0.0324880211820024-0.0645684234745541j),(0.19015503250501728-0.5976274691586851j),(-0+0j)
10.0,(1.5841875570748825e-17-3.809137136687339e-18j),0j,0j,(-0.28199952247171306-0.18132143930728167j),0j,(0.2083273476675997+0.7818948644134698j),(0.3077712848585554+0.3716393122469683j),0j
12.0,(-2.3922668089752212e-17+9.330469178838024e-18j),0j,0j,(-0.23973720934765574-0.10089319210211442j),(-0+0j),(0.27997787783275324+0.009215362457835552j),(-0.30004518688845516-0.8739834009211815j),0j
14.0,(5.873941820560721e-19-6.819423363193739e-18j),0j,0j,(0.412980733992097+0.12997584580229038j),0j,(0.11175172818516779+0.5737297351860555j),(-0.621167210979241+0.29163372760119244j),0j
16.0,(2.4742051210418556e-17-1.3299796518200292e-17j),0j,0j,(0.8704621717450752-0.3833874270863378j),0j,(-0.02610281726206741+0.20476347054315408j),(0.1555923264219022+0.16879360276293362j),0j
18.0,(5.0045570205328566e-18-1.0504812256461187e-17j),0j,0j,(0.00293268280144926+0.6440609974835743j),0j,(0.6882458126167842+0.28245669675636426j),(-0.15922967678152128-0.07974118632831395j),0j
20.0,(-1.535953313143313e-17+6.6483319086570825e-18j),0j,0j,(-0.07964037549766229+0.5964289514264698j),0j,(-0.2061322996266422+0.3767594845222997j),(0.6715155490752904-0.05058210863682555j),0j
