,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(8.739435253046387e-18-5.736229317600996e-17j),0j,0j,(-0.3867638647193757-0.44889976974561974j),0j,(0.408962231737093-0.340449146223499j),(0.6046835810927726+0.010234660462779877j),0j
4.0,(-6.070672031339608e-17+1.1542766262422513e-17j),0j,0j,(-0.14443648231794232+0.9040442843535629j),0j,(0.144264455038617-0.012023450420116877j),(-0.3736668525123449+0.03547282747675956j),0j
6.0,(-1.7405491469888263e-17-1.4135315536127022e-17j),0j,0j,(-0.08057470657055854-0.662022709348892j),(-0+0j),(-0.39264710371357237-0.5495716524819592j),(0.034959940007608714+0.3127470260381013j),0j
8.0,(-1.1264976942134914e-17+4.166570033697254e-17j),0j,0j,(0.08017393105506232-0.6957899485690983j),(-0+0j),(-0.12342411786363988-0.14046224416192257j),(-0.6744686487295128+0.1399191739003411j),0j
10.0,(-1.1166201302043904e-17+5.2131193240243445e-18j),0j,0j,(-0.03955077841703661-0.328835240809902j),(-0+0j),(-0.44364646042341216+0.5102668196450209j),(-0.06504560511742569+0.6548876090644418j),0j
12.0,(6.593533574187622e-19-4.3952392965171743e-20j),0j,0j,(0.09809218510264697-0.09410384325922133j),(-0+0j),(-0.05210996341673802+0.06546977926452753j),(0.6867516457688511+0.7091493683668955j),0j
14.0,(9.064336004007624e-18+4.290598233471045e-18j),0j,0j,(-0.25819914906277475-0.5071185053388458j),0j,(0.3730640215716053-0.3805678176358216j),(0.5978806425895885+0.18626360399053757j),0j
16.0,(-1.3925266330197166e-17+3.862047464476576e-18j),0j,0j,(0.9316628765338252-0.02739780771917877j),(-0+0j),(-0.04270633610391684-0.10979129247960419j),(0.09229193060933338+0.32993618340148867j),0j
18.0,(1.3491277205661544e-17-2.6190842540938143e-18j),0j,0j,(0.08100088000220262-0.6855211962360525j),0j,(-0.24919679859485766-0.6060669312231134j),(0.08332105777901595+0.29519650866569913j),0j
20.0,(-8.493576145550518e-18+1.5231077425361106e-17j),0j,0j,(0.7720571142916508+0.1811244839630694j),(-0+0j),(0.2310672885320214-0.022465189953015274j),(-0.08574052668054949-0.5566628414724095j),0j
