,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-3.9272966420535677e-17+1.2920575327727566e-17j),0j,0j,(0.45340473046767005+0.36207868325966536j),0j,(-0.3068196464548709+0.5048884572675647j),(-0.5588636118659502+0.04409071464511771j),0j
4.0,(1.1818075377251776e-17-4.89901425897771e-17j),0j,0j,(0.26746696556883326+0.8945314505508256j),0j,(-0.03494092771358259-0.09265584633058593j),(-0.28232197567860867+0.1968838085395566j),0j
6.0,(1.2557798364734396e-18+1.0674630007194927e-17j),0j,0j,(0.5326944291206993-0.41369767012244457j),0j,(0.22134086735689223-0.6393784571811507j),(-0.16307623112925537+0.24637458206978313j),0j
8.0,(1.444555055521851e-17-1.202920492046399e-17j),0j,0j,(0.7456872646725186-0.26166879057897996j),0j,(-0.05222814014006144-0.5687935838806074j),(-0.21651051331406046-0.04846880729291035j),0j
10.0,(1.1772558449319637e-17+3.037452560556634e-17j),0j,0j,(0.35745669260508584+0.41232913431367924j),(-0+0j),(0.12117526160422257+0.2797154535654356j),(0.5157221302529347-0.5859316541092231j),0j
12.0,(2.6677614161785246e-17+1.327807726077766e-17j),0j,0j,(0.18953385141724519+0.2699749987621996j),(-0+0j),(-0.2932304406716625-0.576975644689698j),(-0.0035126331860231286-0.6872358363158944j),0j
14.0,(2.2983194000535802e-17+1.0145070561503436e-17j),0j,0j,(-0.4997654222818283+0.20335905606949806j),(-0+0j),(0.24615200578967703-0.5670843383759245j),(-0.1479819160854773-0.552091942281463j),0j
16.0,(4.675726346589599e-18+1.5887275215450423e-17j),0j,0j,(0.020681582101741813-0.4164470929954166j),(-0+0j),(-0.12496116441888494-0.39725428895473514j),(0.8020225591730964+0.09735318571581136j),0j
18.0,(6.956421987057205e-18-5.131954949004086e-18j),0j,0j,(-0.7716710859497956+0.42102383412517685j),(-0+0j),(-0.3893269858067967-0.19131468548170577j),(0.16914019646310874-0.10235941280434177j),0j
20.0,(2.2023413177221165e-17-1.0174082305835492e-17j),0j,0j,(0.27325632470256167+0.8562719637709315j),0j,(0.3400752474458946-0.24268827553357306j),(0.09842842482621753+0.08883905250115996j),(-0+0j)
