,0,1,2,3
0.0,0.0,0.0,0.0,0.0
2.0,3.212196914717767,-1.3190982437251222,9.393648171572574,1.3872637269972072
4.0,0.7713591660837819,-0.3725352527779486,6.243210905930777,1.584966669823296
6.0,-0.5823851731248745,-1.0430957677275383,2.4899433445442347,3.9431020753991097
8.0,-0.5186743829787761,2.125466593169506,5.337677561159074,6.728746744857503
10.0,5.052107689913709,7.473976397160958,0.6975004760558624,3.373239239343616
12.0,1.972962059432935,0.8734030972731582,4.878969786643227,4.275330584794182
14.0,3.882652871870826,-0.0275811056608066,1.7896945188685114,6.1992029151230925
16.0,3.053299162284561,5.777036835259808,2.598674241863147,2.009837074431558
18.0,4.315870892372475,2.9758078493745077,6.3583524540148,6.020105267882165
