,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.8000000000000003,(2.3905816906121707e-33+8.412283791463131e-34j),(-4.769961929404656e-17+1.7150525614902657e-18j),(-4.073178075772803e-17-5.679797311184053e-19j),(-1.6450256687754602e-18-2.1699851489023217e-17j),(3.730324867614927e-18-1.5407691481977753e-17j),(5.432123856325988e-19-1.4591316232433353e-17j),(-1.169999223676594e-17-1.0045916158533327e-17j),(-0.26114784922215717+0.07733226350940106j),(2.5644859812549956e-17+3.38091984816249e-18j),(2.2872271990868808e-17+6.598758268022281e-18j),(9.257036870774068e-18+3.477153854572874e-18j),(0.3140207460064268-0.14419484733098153j),(-2.223120258077564e-17-1.3395014651231584e-17j),(-0.2526441613597935-0.013561111526780925j),(0.008379455813974722-0.12712082207018743j),(5.047303555282822e-34-2.8772460444065882e-34j),(-1.3952229368771903e-17-3.227735066780681e-17j),(-9.718270109047278e-18-1.2392503764524456e-17j),(-1.5971355001592257e-17-4.105600600520266e-18j),(-0.26173541062945455-0.05261381943254076j),(-1.2858319057799289e-17+1.5975391830427208e-17j),(0.02910434312735076+0.23245866418487227j),(-0.19814315786913902-0.24888814035459994j),(-8.482430204273346e-34-3.5776941178080947e-34j),(7.485288926014537e-18+5.061567858334963e-18j),(0.1426374636982744-0.07781762919203891j),(-0.018826180811779634+0.08188468256867536j),(2.7993502650621804e-34+4.1925478021395183e-35j),(-0.05148618095183378-0.0007547692457746738j),(-1.9546915383017394e-33+3.7718278152366114e-34j),(-1.3786277499129596e-33+8.177202279629628e-34j),(3.963034247305009e-18+3.808562241822598e-18j),(1.7521126466611504e-17+1.1882006599370252e-17j),(5.567924557072747e-18-1.6706463457878583e-18j),(5.8857551004391636e-18+3.2968151268962766e-18j),(-0.008638303595549547-0.12424061594208197j),(7.47900649992491e-18-1.466805717973524e-17j),(-0.22298754586710953-0.2553852831954627j),(-0.06512789041994552+0.13865671307007543j),(-1.0828305184359535e-33+3.5087146711524436e-34j),(-6.854652283134398e-18-5.178164094005207e-18j),(-0.04493796709252684+0.03746508273239606j),(0.358943521580751-0.23362503429883397j),(5.106205748265445e-35+8.344035860938225e-35j),(-0.21974816965529348+0.03066956727263538j),(-4.475667689703961e-34-3.8430221131539064e-34j),(-1.8015484143357428e-33+9.277928807192575e-34j),(2.844802768220637e-17-5.414840797570961e-19j),(4.280131580086559e-18+4.691402164989135e-18j),(-0.04239094492375615+0.0271626025008395j),(-0.20018459785129095+0.06970384828191448j),(-8.90643503225577e-34+1.0053126993879959e-33j),(0.052117157568759405+0.13421266157929967j),(-3.88370977046281e-34+3.823747498308997e-34j),(1.0275759263662492e-33+1.4990805163898996e-33j),(3.553777772095713e-19+1.5638627312559873e-18j),(0.062217843007147715-0.0252455707011208j),(1.1801207136561162e-33+1.5590360454855732e-34j),(1.7265614681620663e-34-1.0894565125949867e-33j),(-2.5609607082946842e-17-1.8444852058522024e-17j),(1.5425713177980246e-33+7.694341203930101e-34j),(-6.756539444816794e-18-6.7712793933142874e-18j),(-6.15015624476147e-18+1.900303520777683e-17j),(4.342838751799977e-51-2.5016698777842892e-49j)
5.6000000000000005,(2.4000672951153395e-33+8.704718618972384e-34j),(-2.2068413190796475e-17-7.192547562454032e-18j),(3.686212097762437e-17-1.0738968490309838e-17j),(-6.414889139698516e-18+1.4567407892420737e-17j),(-1.9974290783289743e-17+8.400016965194202e-18j),(1.0471931753506211e-17+1.4440148402222363e-17j),(1.4533025168559737e-17+1.1483301374862318e-17j),(0.23232678107890714-0.08621723640515333j),(1.6367992461620462e-17+2.1156003075055595e-18j),(-1.5421279386438782e-17+2.6513032986313345e-18j),(9.26821000906513e-19+4.203011361124551e-17j),(0.013682767861405765+0.3572967340289875j),(9.423913715730833e-19-1.1349884009775262e-17j),(0.027466871389970313-0.012973993441956084j),(-0.08745348807879633+0.07554744553475533j),(-3.1048793266736234e-33+4.303699283633588e-34j),(-4.000740168861645e-18-1.9128458113557245e-17j),(7.281002824078019e-18-3.2186923747632983e-18j),(-7.625612674203613e-18-1.4196942655601661e-19j),(0.060263312276938485+0.012679358329755544j),(1.2349647514828311e-17-5.400577700859264e-18j),(0.28700797756152463-0.03363823977672789j),(0.012049179001993832-0.06776223967364628j),(8.06404795904479e-34+1.0990947498367488e-33j),(-1.2473936961767372e-18+1.2338091300255514e-17j),(0.18509674115015562-0.04242975468877325j),(-0.10971205608314481+0.18164354128983684j),(-9.28783357972418e-34-1.3028609292793076e-33j),(0.06517050020155393-0.1059180471221037j),(1.0695444075058767e-33+1.740993690787717e-34j),(-5.112576644652915e-34-3.0106800116026553e-34j),(-3.360976291392245e-18+6.420521857214381e-18j),(-9.411560085704853e-18-1.7277574999033583e-17j),(3.0109806564434715e-18+3.170586188444652e-19j),(3.628694384878507e-19-1.2790529469324792e-17j),(-0.11705159971176571+0.0901650477183299j),(-5.0734966690035914e-18+2.1205514968569115e-18j),(0.0354671547024942-0.09782198418954688j),(-0.15388972046787924+0.0049342481703694985j),(3.0647734018001104e-34-7.370978129840615e-34j),(1.3706998645059506e-18-3.6586548857351334e-18j),(-0.08000046029725395+0.17085571975016947j),(0.6038793166709973+0.08945020416465072j),(7.734653390921527e-34-1.6411628891090893e-33j),(-0.1267399266037799+0.13406084766341522j),(-4.306995781002496e-34+1.2583490562446473e-33j),(8.198666549801707e-34-5.102512007521983e-34j),(-2.4983196186317162e-17+8.46916037416991e-18j),(1.25850017247047e-19-4.173886775239855e-18j),(0.11684248243810624-0.12396845583889826j),(-0.12056831055931296+0.16966692637189285j),(-4.672689904629661e-34-1.1784210174294147e-33j),(-0.006896980224843127-0.18854897242957086j),(1.8619793882873872e-34+2.5736127752951896e-34j),(-1.1966658371372695e-35-3.697502982960194e-34j),(-6.461735121803866e-18+2.5856879060226796e-17j),(0.026917720003410105-0.023286196690377785j),(6.132106552064529e-34+1.4582284612954265e-33j),(-8.909520923157172e-34-7.2046536453858025e-34j),(1.451899360966014e-17+5.613048764842579e-18j),(4.8189055282580425e-34+5.703696239362339e-34j),(5.111449587798473e-18+2.044559188578555e-18j),(7.171244098598151e-18+1.3802486804643808e-17j),(-2.4433784146618394e-51+5.843346727701821e-50j)
8.4,(1.5011020076072357e-33+1.0068574896279486e-33j),(5.5112142200958985e-18+1.4153936735161776e-17j),(7.245666917148645e-18-1.6438942435322642e-17j),(8.092237055267052e-18-1.9213379235722907e-18j),(-6.335846270552873e-18+7.830457093547045e-18j),(-1.0091717462376475e-17+5.6084710808642464e-18j),(-1.6385571718887526e-17+3.949093796972711e-18j),(0.029551680441034928+0.14053214447317808j),(1.957731788520246e-17-8.526484509884166e-18j),(1.7033874175337051e-18-6.841907278613946e-18j),(-6.3287495033726336e-18+1.6291722154923838e-17j),(-0.10041642630330427+0.3181202793386427j),(1.5650643655901356e-18+1.041030028758384e-17j),(0.17557748789148753-0.17396317510000417j),(0.04887980348820534+0.11142714503512598j),(9.290911538071919e-35-1.6303567673366295e-33j),(-2.1731166892558075e-17+5.356013549326231e-19j),(-5.743315247043188e-18-1.2757569122519903e-17j),(2.896268344606938e-17+1.3561284202152857e-17j),(0.2198946117556227-0.20952234425246946j),(5.206730604521039e-18-1.2561381405150792e-17j),(-0.21508818490049106+0.03037228292836741j),(-0.0694242627473648-0.11732897924794893j),(-4.981573148529967e-34+3.458452298806449e-34j),(-4.892406611362755e-18-4.09099029803619e-18j),(-0.1117851426682929-0.12721559944313202j),(0.20677990797180837+0.29619615582386594j),(2.7636308377919562e-33+3.9921177214504715e-34j),(-0.10318175284371908+0.008739887199636379j),(-1.9353449243817747e-34+6.846107921446917e-34j),(2.2040548200637187e-33-1.4494790107986909e-33j),(1.5674512396814182e-17+4.748035273133131e-17j),(-4.632358435732631e-18-1.0002601707268762e-17j),(-7.801698690181498e-19+3.0805090741993817e-19j),(-9.106472497771025e-18+2.83337472772615e-17j),(0.03720602652053423+0.0718085195467396j),(1.3169724307051058e-17+5.288482477840353e-18j),(-0.07034999537409455-0.05591249537455099j),(0.2133209295345197+0.09936622642209739j),(-2.3386197258897204e-34-3.230034293619879e-34j),(1.123383923636526e-17+1.5691516802383317e-18j),(0.19839147973724183+0.28686784573103874j),(-0.19018431755706788+0.09756713244836573j),(-1.5112281347196342e-33+2.3433408819641595e-34j),(0.28529909185069086-0.06594822591605434j),(-1.984240191542552e-34+6.185941999603165e-35j),(2.035784235501166e-33-3.011213226115802e-33j),(-1.7610682034398934e-17-2.510414259221459e-17j),(4.385989825817723e-19+1.1665348592468772e-17j),(-0.03008740532009436-0.03622739584256557j),(0.285864169247164-0.01036353077179858j),(-3.922081355075143e-34+5.9020392092351266e-34j),(-0.06543727745507616-0.1887416232559655j),(7.521099263052089e-34-3.451244230617648e-35j),(4.2752559807424965e-34+1.6979780660680717e-34j),(-8.983859049202243e-18-7.152049797306921e-18j),(0.13117316029484077+0.006566668412830101j),(-1.236500215126306e-33-8.90077116961944e-34j),(1.9409646580301265e-33+9.10664626554796e-34j),(-2.4651159693691567e-17-2.970130788559167e-17j),(9.992756249916212e-34-8.531137924841932e-34j),(1.8962830449401408e-17-1.5696003041320458e-17j),(2.815143826321165e-17-3.055699468347726e-17j),(7.767174443848537e-50+9.701870371373999e-50j)
11.2,(-4.071953760065342e-33+7.74866970012864e-34j),(-5.919211647099102e-17+4.6904808394422776e-17j),(-2.6780451312738813e-17+1.2148944766915673e-17j),(-1.4670926538360443e-17-5.296600235290874e-18j),(2.8084753848935865e-17+3.0037301330249627e-17j),(-1.1650052003339477e-17-9.841617459757726e-18j),(-2.1203573035005855e-18-1.1879364713530423e-17j),(-0.0176567485315495-0.11054402556106388j),(-6.687679631974807e-18+3.528546493935861e-18j),(6.211301905302477e-18-2.733447643613984e-18j),(-6.910638834869013e-18+6.675875084838471e-19j),(-0.13086080980820594+0.02762221397257473j),(-1.0928456629313905e-18+5.494962721471796e-18j),(-0.18921494584543105+0.03281628224715172j),(0.049305524142344466+0.14307822872876455j),(-1.5637089080495208e-33+2.2788696260072355e-33j),(1.4060419498102797e-17-1.439674287580548e-17j),(4.084845143954871e-18+6.525888112080259e-18j),(6.365814575907946e-18+1.6880225219135136e-18j),(-0.1619308007348207-0.014758465597756842j),(2.0791278528603184e-17+8.453999829442239e-18j),(0.3016284832921156+0.14952198145263534j),(-0.12463582982603574-0.31550208505455085j),(8.525552764965695e-34+3.5408078526870653e-34j),(-1.4550584878705336e-17+1.9544114973141124e-17j),(-0.05652229385032213+0.009100356045381414j),(0.0600857447940446+0.09985651934930309j),(1.0763512270532077e-33+2.3315793983630875e-33j),(0.028034696985542583+0.06385539205817402j),(-2.3173261649505375e-33+1.3423279380691424e-33j),(-2.132169309307976e-34+5.349615580187401e-35j),(-4.101914696842112e-18+6.950591972212697e-18j),(2.7777815154091723e-17-5.388809996340807e-18j),(1.3255117520541534e-17-2.822598591200657e-20j),(-8.582538292589239e-18+1.397493697822425e-17j),(0.043826415988453646+0.2195841085678619j),(-1.6926105712838328e-17-2.0713139123137427e-17j),(-0.22943174418178758-0.23286770758319106j),(0.17451631365474643+0.09462524590159617j),(4.063400086890926e-34+1.453071310140945e-33j),(-1.4039426687397143e-17+1.0718664571727803e-17j),(0.021328610441040938+0.1298454771924512j),(-0.03560125849017476+0.49502147827177795j),(2.1516091417592914e-34-6.7922634576851864e-34j),(-0.06111197946746149-0.10646840306075621j),(-9.645968617774802e-34+5.814824193939346e-34j),(-1.2109800906210544e-33-3.3041100599409586e-34j),(-1.3783644667211264e-17+4.2628506026915306e-17j),(-1.7445805792441575e-17+5.064347302480627e-18j),(0.04718240178346837-0.003863598630780566j),(-0.09660339794835343-0.059995128113769156j),(3.1847602335033203e-34+2.775198336942162e-35j),(-0.15420876138991463-0.03156574597409391j),(6.725100382727442e-34-1.1902961316796805e-34j),(3.566588300454164e-34-3.0958069090448184e-34j),(5.789742730744475e-18+4.516921684126534e-18j),(0.12029297366900786+0.32201268311365405j),(-1.2928796739052115e-33-6.252757993696323e-34j),(-1.0007393302530957e-34+2.2547422243258163e-34j),(-5.819727678329863e-18+2.3398409644227785e-18j),(-1.2830341601501526e-33-8.23775847609773e-34j),(-1.5184733331543287e-17+1.6268527717291142e-17j),(5.50640870529786e-18+6.983719940390487e-18j),(-1.6839079825387853e-49-1.2643213197321237e-49j)
14.0,(-1.351455160338741e-33-1.338806144881853e-33j),(-1.841590837941761e-17-1.5364945148102434e-17j),(-1.0201094005895158e-17+3.384833960438655e-17j),(2.3232855133915956e-18+8.22076756935614e-18j),(1.6930017359872516e-18+2.0096480242923813e-17j),(9.647536454141354e-18+9.828071429099219e-18j),(9.79680253039338e-19-1.8488936697070894e-17j),(0.03072930926900018-0.052038938639296935j),(-1.5580882930326668e-17+2.4059729435991668e-17j),(8.172025880862002e-19+4.2368511241330815e-18j),(1.1618740846459318e-18+5.698214721949882e-18j),(0.1266762860310671-0.015060282208146064j),(-1.0339773923224745e-17-1.7839187601553484e-19j),(-0.18651370109120347+0.20704854557020896j),(0.061496009999034706-0.08494343292152988j),(8.329063698970641e-35+2.690653906577068e-34j),(-4.621961750514204e-17-2.7463085278925956e-17j),(-1.5221417406731297e-17-8.257668318269403e-18j),(1.4072909827426084e-18+6.326347818863612e-18j),(-0.1490235774062044+0.04906415800364874j),(2.6030897112932975e-17-3.545259155002938e-18j),(0.46907491500884463-0.4130358453794214j),(-0.06827267648747573-0.1220562782995059j),(-1.2426049468323123e-33-1.5421708015894755e-33j),(-3.267383028751825e-18-2.018231698795825e-17j),(-0.22641049177693923+0.019751402452361358j),(0.014184452604308137+0.02495859829526238j),(-3.560950483642093e-33-4.6254260628534575e-34j),(0.0502275024469819-0.08384775516175383j),(5.214009490978845e-34+4.636292254251545e-34j),(2.7313647925740595e-33+1.6056884567555076e-34j),(-2.67953138840317e-17-1.848426870099502e-18j),(-3.12427634838196e-17-7.830592956357354e-18j),(7.986035250611873e-18-7.827674165371901e-18j),(4.910070338075814e-18+5.789976020300632e-18j),(0.025169571059312078-0.060637256634231515j),(-9.99984094619252e-19-1.810243495477168e-17j),(-0.14108370818307084-0.061283708639470955j),(-0.11859073553234248-0.054601695816245154j),(8.371237808139789e-34-1.6485037625517113e-33j),(-2.122118837880946e-17-9.815450248963326e-18j),(-0.04522880470949875-0.0014644806290744043j),(-0.2589946075713616+0.04872916830266005j),(5.945725831723475e-34+8.92385913092014e-34j),(-0.10276844749453343+0.2456725105685032j),(-1.5513298626688596e-33-1.5977902920350362e-33j),(8.177661888037814e-34+1.6440196719451017e-34j),(-1.4344032150164933e-17+1.8038232173671e-17j),(-1.7102768842889756e-17-1.3562620298729616e-17j),(0.10200727354738781-0.089626276548314j),(-0.159258449119183+0.23399821130995097j),(9.924397222020404e-34+2.9514994951375255e-34j),(-0.09800943941996086-0.256345273152468j),(8.215917289031397e-34-1.5236194518649023e-34j),(-4.70997865936473e-34+4.004178683832241e-34j),(1.5541365962708487e-17-2.8287474150024214e-17j),(-0.16551297726603148-0.07670936763144368j),(-2.5526854416653948e-33+3.2766052896110247e-34j),(-8.885819033706225e-36+2.4580869954485633e-33j),(-7.241743562765798e-18-1.9145155227039436e-17j),(-1.4148919221283463e-33+1.6520970873517504e-33j),(-1.136506682153002e-18-2.4036436786246294e-17j),(1.6155061928662667e-18+1.2311045327228347e-17j),(1.215536539716177e-49+1.6615458193303139e-49j)
16.8,(-4.99463156363325e-34+2.1178546986590987e-35j),(2.3862498385902128e-17-2.1915074457137276e-18j),(-1.7217068150884603e-18+1.1514095186309192e-17j),(8.649941573752556e-18+5.708043132233423e-18j),(1.4479589764956018e-17-5.3232657525705034e-18j),(-6.002950340216832e-18+5.6303836088687145e-18j),(5.779617198302119e-18-8.31762429312422e-18j),(0.009145024974895184-0.012398142736399213j),(3.3113501344841294e-18+1.478650836268144e-17j),(5.2282383162029334e-18+9.716181703561883e-18j),(-2.0965950326971617e-17+2.8410582691374484e-18j),(0.020702169682778042+0.12254869372206145j),(-2.1815314552386436e-18+5.241923295316232e-19j),(0.12344774951835058-0.02290534413770909j),(-0.08471234341480821-0.02666834834580249j),(-5.4878166713685345e-34+5.228054510998701e-34j),(-1.3579423731885537e-17+2.144097281847694e-18j),(-2.2827064539415787e-17-3.0592570335779656e-17j),(4.437351874588911e-18-1.67368908613465e-17j),(0.07832027589860147-0.2108448584216751j),(1.6580507954175774e-17-9.064952245842145e-18j),(-0.2508939836602287-0.15113127971536144j),(0.23240954641622114+0.03400280695567816j),(2.953430484977262e-34+1.2111141248910954e-33j),(8.200685387977296e-18-1.308638175413854e-17j),(-0.11597010578750894+0.10669651452092856j),(0.07790908183211441-0.10372856923532356j),(-8.284688382873842e-34+1.3518741182623818e-33j),(-0.22824440281250807-0.12946298475290782j),(3.7421218351902223e-34-3.5308748052483738e-34j),(1.163362800999429e-33+6.360544280239144e-34j),(-1.1510545563802299e-17-2.14324559339002e-17j),(2.1007609026214618e-17-1.326817597523872e-18j),(2.082920189016558e-18-4.731224461977559e-18j),(6.6245347994937896e-18+9.38165527606954e-19j),(-0.06398456660901143+0.026822930164806864j),(1.6855000200650326e-17+1.0484302874100492e-17j),(0.18459168367592182+0.08343393556270731j),(0.10437298015263252-0.18139492642843888j),(6.612525888037302e-34+1.3787844517616811e-33j),(2.4217168253191672e-18-8.452527521070267e-18j),(0.09938188568945705-0.15513957010245286j),(-0.2622758055062679+0.4572758302204406j),(-2.751150396330568e-34-5.482235749062646e-35j),(0.014551347562049545-0.11558852926927989j),(1.2086124315200207e-33-1.5044301037361734e-34j),(-3.889816124831072e-34-8.288874510510471e-34j),(-2.7629698301351252e-17+2.4777061426268767e-17j),(1.4284028674262922e-18-1.5128190176920885e-19j),(-0.22575706526202816-0.17480551800135194j),(-0.08560154905598674-0.10265509087475717j),(-8.893050994271841e-35+4.7919132081569844e-35j),(0.1151761669871216-0.3517449306717363j),(7.86847843830101e-34+1.787351781033428e-33j),(8.424626921365646e-34+1.1392425374665087e-34j),(2.925227737590639e-17+1.4477406120082558e-17j),(-0.07722370237978149-0.034653120231485326j),(5.350958836081801e-34+9.153471836818599e-34j),(-6.815772324039092e-34+1.4818389820987495e-33j),(2.5546173806675193e-17-1.6711707678276702e-18j),(-1.6118791367929778e-33+8.682617692773092e-34j),(-2.2060272164636304e-17+4.277229689934776e-18j),(3.93996788565666e-18-3.8577434997994083e-17j),(1.1642185668883493e-49+1.5042049154630754e-50j)
19.6,(-3.154633363890011e-33-1.7757695647144836e-33j),(-2.7146909622948948e-17+5.488846383044872e-17j),(-7.903431387775575e-18-1.4365714109068044e-17j),(-2.605356063802793e-18+9.114241530349224e-18j),(-1.0875393878241254e-17+1.0515498750663353e-17j),(1.0247811999184958e-17-8.042731777817583e-18j),(-8.71433316005574e-18-5.4173379118221645e-18j),(-0.08198659729941296-0.04439704305230977j),(2.259295314563948e-17+5.257997023582267e-18j),(2.2548128361074695e-17+9.239560279147986e-18j),(1.9105988165095885e-18+3.9508928031654558e-19j),(0.13315324965159606+0.067550785302429j),(5.558487868453068e-18+1.0851803476099917e-17j),(0.09625849218695252+0.059144583098294456j),(0.02764882819170058+0.07340719548418213j),(8.265766911388637e-35+3.6627455698811034e-34j),(5.589126233026409e-18-8.910044110828322e-18j),(9.094326249425706e-18-2.2779594975148736e-17j),(-9.080996543432718e-18-8.200201327056077e-18j),(-0.08892104110896765+0.06856961542244731j),(1.4515293850114396e-17+6.863382525217697e-19j),(-0.10816708065302336-0.1645889458825544j),(-0.06144375973102334-0.015756589623480727j),(-1.8403032723960454e-33+8.954237388652492e-34j),(-1.1356332403422938e-17+3.81909994937864e-18j),(0.00516641792766484-0.2657632240961214j),(0.0021127950153896624+0.13427247426112732j),(9.283301748144252e-34-5.823887360638055e-34j),(0.09396455686667331-0.14241543361428144j),(2.5391706810774133e-33-1.2661584638488675e-33j),(-1.2093832247480966e-33-6.036637832037859e-34j),(2.016350273947977e-17+1.0029085332729199e-17j),(-2.970571270577909e-17+2.0779186616911074e-17j),(-7.261574893998785e-18-2.206782719122064e-17j),(1.4423655549977396e-17+4.417086540389471e-19j),(0.1149751365313085+0.08441491438099365j),(-4.672318926474125e-18-2.135657216308819e-17j),(-0.056916181889441836-0.07344018945712459j),(-0.35209290040034535-0.12063262404124662j),(6.089340915537311e-34+1.1616510436461018e-33j),(-2.8105288071388817e-18+1.374347546848918e-17j),(-0.05921194662037299+0.017336030855691388j),(0.4217727781553527-0.22496188895960326j),(-2.164486023444015e-33+3.989835700106884e-35j),(-0.21889306423979266+0.10557239537064447j),(-1.5081929058179943e-33-2.147548626130202e-33j),(-2.0986083935782922e-35+1.9765771103836505e-34j),(9.708936907076411e-18-1.5908768502468556e-17j),(6.661913346167615e-18-8.074948281560673e-18j),(0.11240771923691552-0.26373245091824193j),(-0.14650629927023487+0.15210575223961764j),(1.306402343785461e-34+3.0795026529328247e-34j),(0.06773958200581773-0.4318474214477436j),(-2.0831915351509615e-33+2.0119166415513145e-34j),(-2.318140739121583e-33-1.3880380841035381e-33j),(1.8592825650047986e-17+9.85835311177261e-18j),(-0.007176017183882805-0.009191763786931534j),(-3.5904670722650794e-34+7.754809813710438e-34j),(-1.0427873917214329e-33+1.3089090707950796e-33j),(-1.3790030943543647e-17+4.877909155940238e-18j),(1.6908708150075845e-33+9.516219269449394e-34j),(8.133151886274411e-18-8.206183274891946e-18j),(3.362527955846815e-17-3.720806007452048e-18j),(2.562498539155649e-49+1.418484269871488e-49j)
22.400000000000002,(1.9391402544071238e-34+1.406272053856151e-33j),(-7.756768482846724e-18+1.1841968602547759e-17j),(-1.565862578679176e-17+2.337299024698935e-18j),(-4.953763529919884e-18+7.436807457169782e-19j),(-5.841107360035389e-18+1.588576210103771e-17j),(-2.0022193578587e-18-1.1882915003198105e-18j),(5.543340591829872e-18+1.8313570697794956e-18j),(0.02441699190816031+0.017658341583360875j),(2.1453953856975778e-17+1.1194418362938115e-17j),(-5.108123882560058e-18-5.091981751044664e-19j),(-8.662023237401271e-18-6.152895059769629e-18j),(-0.0023743039694059847+0.016462871103466697j),(-1.8974581251595833e-18+3.94268787408035e-19j),(-0.12636823159236232+0.061655280961531105j),(-0.03523659639863237+0.12172855278535416j),(-2.770522680358944e-34+4.1136196168050375e-34j),(2.1918894214163765e-17+2.582164382634351e-17j),(-2.6538816898498717e-17+1.5684601745011288e-17j),(1.8116342217456187e-17-2.4628612636176056e-17j),(-0.07456125941532568+0.0824993900140134j),(-7.366261886887411e-18+1.6932218401343647e-18j),(0.280846296707689+0.39426554375614187j),(-0.20138732811248422+0.013681119427997879j),(-1.2012731897426484e-33+8.652510934075759e-35j),(-1.5782577347032055e-17+2.894830774167821e-19j),(-0.27272567703766804+0.08937166398538308j),(0.1528170240850944-0.42390714943060437j),(-6.350227997971507e-34+4.36810253751596e-34j),(-0.19176379958140857+0.15118213303778194j),(8.929101720203163e-34+1.813567182347019e-33j),(-2.571871342029099e-34+1.3532169942860406e-33j),(2.580587242797999e-17+3.656674032960554e-17j),(-3.665983368167363e-17+4.017808740620547e-18j),(7.738492236830642e-18-2.5493424437341867e-17j),(2.0197420263387686e-17+3.0878155848711435e-18j),(-0.09243964964513285-0.05250562192996626j),(-4.871700086107308e-18-5.788989260732688e-18j),(-0.26210606974378475-0.05499082052077514j),(-0.006848587298585007-0.22770774007167205j),(1.0780094994996667e-33-2.267566468595142e-33j),(-3.4224172071599e-18-1.2341245007364674e-17j),(0.14264315488154433-0.2454881056326453j),(0.08797879633453784+0.06572137109674543j),(-9.020456483646426e-34-3.8158280768677173e-34j),(-0.06777045519943162-0.06443293463870808j),(-1.3523203266595765e-34-9.62394291362118e-34j),(-2.0310138912764687e-33+3.3514341521904985e-34j),(-1.9065797732643142e-17+5.3038629658147646e-18j),(-4.761420276938478e-19-1.2872241342348402e-18j),(-0.12701880889388886+0.06709465425712581j),(-0.07320658952050976-0.21381670396124963j),(-1.602511692297779e-33+8.79410464260522e-34j),(-0.09971990701574868+0.02919351201573083j),(7.042221574836548e-35+1.0583346954126762e-33j),(7.895372923746693e-34-2.81714942061076e-33j),(5.274649554718768e-18+1.7573133464279385e-17j),(-0.015401088626482005-0.10688903102452764j),(-4.316852503828737e-34-1.1785024789233896e-33j),(-1.4835608149497977e-33-9.865246283794109e-34j),(3.0013498777269177e-18+3.859095566392271e-18j),(-3.2345788400074374e-35+7.81663105420047e-34j),(2.6786117469294442e-17+5.229687156140121e-17j),(-1.2525876902083644e-17+2.80301826095529e-17j),(1.4929582569015424e-49+1.677867681211748e-49j)
